,company_name,description,website,industries,num_employees,headquarters,founded_date,industry_groups,full_description,filter
2009,Counterpart,Counterpart is an insurtech startup company that works in the management liability insurance market.,https://www.yourcounterpart.com/," Artificial Intelligence, Big Data, FinTech, InsurTech, Software",01 to 10 ," Los Angeles, California, United States",2019," Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software","Counterpart is a management liability platform powered by big data and artificial intelligence that offers a range of insurance products complemented with a suite of services that proactively measure and mitigates exposures. Counterpart was founded in 2019 by Tanner Hackett and is based in Los Angeles, California, United States.",Software-2019
2010,Crane Data Centers,"Crane Data Centers delivers innovative and sustainable data center solutions that provide flexibility, reliability & speed to organizations.",https://www.cranedc.com/," Data Center, Data Storage, Information Technology",01 to 10 ," San Francisco, California, United States",2019," Hardware, Information Technology, Software",,Software-2019
2011,Creative M Studios,Web and App Design Service,https://www.creativemstudios.io/," Consulting, E-Commerce, Information Technology, Internet, Software",01 to 10 ," Irvine, California, United States",2019," Commerce and Shopping, Information Technology, Internet Services, Professional Services, Software","We at Creative M Studios cater to fast paced timelines, guaranteeing quick turnaround rates (mostly within 2 days, 7 - 10 days for websites and apps) and speedy revisions. And we do this at a cost efficient budget to give you the best bang for your buck!",Software-2019
2012,CROSSLINKER,Artificial Intelligence Development Company,http://www.crosslinker.us," Artificial Intelligence, Information Technology, Software",01 to 10 ," Sunnyvale, California, United States",2019," Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",Artificial Intelligence Assisted Secured Data Delivery,Software-2019
2013,CrowdPlay,The leading Engagement Program for Sports Properties that maximizes revenue through direct sales and sponsorships.,https://www.crowdplayapp.com," Apps, Events, Sports",01 to 10 ," Boston, Massachusetts, United States",01-01-19 0:00," Apps, Events, Media and Entertainment, Software, Sports","CrowdPlay reimagines the fan experience with a revolutionary Engagement Program that increases loyalty, drives engagement, rewards fans, and maximizes revenue through interactive sponsorship and ticket sales opportunities -- 365 days a year.",Software-2019
2014,Curated Planet,Curated Planet provides mobile solutions that keep tour operators and travelers in sync.,https://www.curatedplanet.com/," Mobile, Tour Operator, Tourism",01 to 10 ," San Francisco, California, United States",01-01-19 0:00," Mobile, Travel and Tourism",,Software-2019
2015,Cyberhill Partners,"Venture capital firm focused on disruptive and timely, early-stage technology companies and utilize a Platform for portfolio firms.",http://www.cyberhillpartners.com," Consulting, Information Technology",01 to 10 ," Washington, District of Columbia, United States",01-01-19 0:00," Information Technology, Professional Services",,Software-2019
2016,Cyphlens,Beyond Login. Cyphlens protects Personal Identifiable Information and sensitive content when everything else fails.,https://cyphlens.com," Cyber Security, Information Technology, Privacy, Security, Software",01 to 10 ," Princeton, New Jersey, United States",2019," Information Technology, Privacy and Security, Software","Protecting Personal Identifiable Information (PII) and sensitive content is hard. Even the most secure encryptions are vulnerable when users have to access them and view the underlying content. Unfortunately, today the only protection users have from anyone accessing their personal information and assets is their login.

Cyphlens’ patent pending technology protects sensitive information viewed by the user in such a way that even if the user's online bank account is hacked or login credentials are stolen, account information protected by Cyphlens remains inaccessible to the attacker. Cyphlens protects sensitive content in documents, on websites, in emails, across all messaging platforms (e.g., Slack, Telegram, WhatsApp) and more.",Software-2019
2017,Daizy,A B2B/B2C Interior Design SaaS tool.,https://www.daizy.ai/," E-Commerce, Home Decor, Retail Technology, SaaS",01 to 10 ," San Diego, California, United States",2019," Commerce and Shopping, Hardware, Real Estate, Software","Daizy is the first A.I.- powered interior design tool & social platform that will be revolutionizing home decoration that lets users design for themselves.  The more the user engages with Daizy, the smarter it gets. It creates simple furniture & decor plans on a per room basis and offers 3D renderings of their designs in their own home. What makes Daizy so unique and valuable is that it’s the first consumer-facing online design tool making design accessible to everyone, vs. keeping the technology behind the curtain and making users hire service-based companies.  Think 'Canva for the Home' with a community-driven focus on top of a marketplace of products.",Software-2019
2018,Daloopa,Daloopa provides document automation and data extraction using AI.,https://www.daloopa.com," Artificial Intelligence, Document Management, Software",01 to 10 ," New York, New York, United States",01-01-19 0:00," Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",Daloopa provides document automation and data extraction using AI. It extracts complicated data from complex documents and manages the database. The company serves financial and data teams globally.,Software-2019
2019,Dandy,Dandy is an intelligent platform for people and their pets. Our first product is personalized supplement treats for your dog.,https://www.lovedandy.com," Big Data, E-Commerce, Machine Learning, Personalization, Subscription Service",01 to 10 ," Austin, Texas, United States",2019," Artificial Intelligence, Commerce and Shopping, Data and Analytics, Other, Software","Dandy is an intelligent platform for people and their pets. We use big data and machine learning to make caring for your dog easier, thoughtful and approachable. We're out to change the conversation around pet wellness - from reactive to proactive - and empower consumers to make better decisions today for a happier, healthier pup, tomorrow.

Our first product is a line of personalized supplement treats that allow pet parents to take a proactive and preventative approach to their dog's overall wellness.",Software-2019
2020,Dashblock,Turn any website into an API,https://dashblock.com/," Data Integration, Internet, Productivity Tools",01 to 10 ," San Francisco, California, United States",2019," Data and Analytics, Information Technology, Internet Services, Software",Dashblock is the easiest way to automate websites without coding. Put your manual tasks on autopilot to save time and focus on what really matters.,Software-2019
2021,Dashworks,Dashworks is a software company that brings together all of the information from various collaboration tools and databases.,http://www.dashworks.ai/," Information Technology, Software",01 to 10 ," Palo Alto, California, United States",2019," Information Technology, Software","Dashworks is a software company that brings together all of the information from various collaboration tools and databases.

Dashworks is located in Palo Alto, California.",Software-2019
2022,Data Compass,Data Compass is a global platform that connects software developers with great companies,https://www.datacompass.com/," Information Technology, Internet, Software",01 to 10 ," San Jose, California, United States",2019," Information Technology, Internet Services, Software","Data Compass is a global platform that connects software developers with great companies. It allows developers to show their superhuman coding strength in just 38 minutes. Score well and be invited to ""Fast Track"" the interview process at leading tech companies.

It was founded in 2019 and is headquartered in San Jose, California.",Software-2019
2023,Data Mechanics,A serverless platform for data engineering and data science. The Simplest Way To Run Apache Spark.,https://www.datamechanics.co/," Big Data, Computer, Information Technology, Software",01 to 10 ," San Francisco, California, United States",01-01-19 0:00," Consumer Electronics, Data and Analytics, Hardware, Information Technology, Software","Data Mechanics is a managed Spark platform for data scientists and engineers. The platform tunes the infrastructure parameters (e.g. CPU, Memory) and Spark configurations (e.g. parallelism, shuffle, I/O) automatically and continuously for every pipelines to make them stable and performant, and provide an easy-to-use serverless experience to its users.",Software-2019
2024,Databento,"Databento is a platform that offers institutional-quality, live, and historical, market, and alternative data.",https://www.databento.com/," Information Services, Information Technology, Software",01 to 10 ," Boston, Massachusetts, United States",2019," Information Technology, Software","Databento is a platform that offers institutional-quality, live, and historical, market, and alternative data.

The company was founded in 2019 and based in Boston, Massachusetts.",Software-2019
2025,DataBloc,DataBloc provides data and NAS migration software.,https://www.databloc.io/," Data Storage, Information Technology, Software",01 to 10 ," Washington, District of Columbia, United States",01-01-19 0:00," Hardware, Information Technology, Software",,Software-2019
2026,Daybreak Health,"Daybreak Health specializes in providing online counseling services, especially for teens, helping to stabilize their mental fitness.",https://www.daybreakhealth.com," Health Care, Mobile Apps, Personal Health, Therapeutics",01 to 10 ," San Francisco, California, United States",01-01-19 0:00," Apps, Health Care, Mobile, Software","The Daybreak Health startup uses a mobile app to connect teens to teen-specialized therapists. Daybreak Health specializes in providing online counseling services, especially for teens, helping to stabilize their mental fitness.",Software-2019
2027,DebtBook,DebtBook provides software and services to government and non-profit finance professionals.,https://www.debtbook.com/," Financial Services, Government, Software",01 to 10 ," Charlotte, North Carolina, United States",01-01-19 0:00," Financial Services, Government and Military, Software","DebtBook focuses on delivering debt management tools and services to governmental and not-for-profit entities. It specializes in the fields of financial services, software, and government.

It was founded in 2019 and headquartered in Charlotte, North Carolina.",Software-2019
2028,Decision Point AI™ USA,Professional services consulting for key decision making solutions,https://decision-point-ai.com/," Artificial Intelligence, Consulting, Information Technology, Predictive Analytics, Software",01 to 10 ," New York, New York, United States",2019," Artificial Intelligence, Data and Analytics, Information Technology, Professional Services, Science and Engineering, Software","Decision Point AI™ USA is the USA professional services consulting division of Decision Point AI™. It is focused on analysing client issues and providing consulting services to support strategic, tactical and operational adoption of the Decision Point AI technology. It does this through bespoke consultancy involving Service Design, Human Centred Design and classic Business Analysis techniques.",Software-2019
2029,Decode Health,Predictive analytics leveraging the social determinants of health to identify and monitor chronic disease risk early.,http://decodehealth.ai/," Analytics, Artificial Intelligence, Health Care, Machine Learning, Predictive Analytics",01 to 10 ," Nashville, Tennessee, United States",2019," Artificial Intelligence, Data and Analytics, Health Care, Science and Engineering, Software","Decode Health offers a proven data analytics solution that can predict and monitor chronic disease early.
Decode’s health management analytics solution leverages a variety of healthcare data sources including proprietary social determinants of health data. Decode can apply this approach across a variety of chronic conditions including: multiple sclerosis, Crohn’s, ulcerative colitis, chronic kidney disease (CKD), COPD, diabetes, and others. Relying on our deep disease knowledge and expert data modeling techniques, the platform finds patients who are trending towards a diagnosis, are about to experience a high-cost adverse event, or are misdiagnosed and being treated with unnecessary, expensive drugs, often biologics.

Our patent-pending technology provides insights that enhance care managers’ ability to optimize the care pathway to reduce disease risk and improve overall outcomes for their patients.

In the face of the COVID-19 pandemic, Decode has applied its approach to predict increased rates of new cases, deaths, and hospitalizations. Decode delivers an early warning system to policymakers and health officials that enables proactive decision-making tied to faster economic recovery and enhanced COVID-19 risk mitigation including a second or third ‘wave’ of infection.",Software-2019
2030," Decoded Health, Inc. ","Decoded Health, Inc.'s mission is to create a future of optimal health through universal access to primary care.",https://www.decodedhealth.com," Health Care, Information Technology",01 to 10 ," Berkeley, California, United States",01-01-19 0:00," Health Care, Information Technology",,Software-2019
2031,Delightree,Delightree is a workflow app for franchise businesses.,https://www.delightree.com/," Information Services, Information Technology",01 to 10 ," San Francisco, California, United States",2019,Information Technology,They know you're busy and hence their bot will be looking at your customer feedback and will let each location know what needs attention in real-time. A food chain increased NPS across low rated stores by acting on tasks created by their bot.,Software-2019
2032,DenScore,DenScore is a software solution that leverages dental claims data along with patient and provider feedback.,https://www.denscore.com/," Consumer Reviews, Dental, Software",01 to 10 ," Traverse, Michigan, United States",01-01-19 0:00," Commerce and Shopping, Health Care, Software",,Software-2019
2033,Desert Lab Studio,"Desert Lab Studio provides web design & development, internet marketing, and business consulting services.",https://www.desertlabstudio.com," Advertising, Consulting, Information Technology, Marketing, Web Design, Web Development",01 to 10 ," Tucson, Arizona, United States",2019," Advertising, Design, Information Technology, Professional Services, Sales and Marketing, Software",,Software-2019
2034,Detecting Talent,Detecting Talent is a data-driven talent management platform with AI and machine learning technology.,https://detectingtalent.com/," Artificial Intelligence, Human Resources, Machine Learning",01 to 10 ," Austin, Texas, United States",01-01-19 0:00," Administrative Services, Artificial Intelligence, Data and Analytics, Science and Engineering, Software",,Software-2019
2035,Developen,"Developen creates personalized, convenient, and efficient engineering tools.",https://www.developen-prototype.com/," Information Technology, Marketplace, Service Industry, Software Engineering",01 to 10 ," Berkeley, California, United States",2019," Commerce and Shopping, Information Technology, Other, Science and Engineering, Software","Developen creates personalized, convenient, and efficient engineering tools. The company's goal is to create a digital marketplace where the members will divide projects into manageable tasks, work together to solve problems and get paid for those solutions individually.

Developen was founded in 2019 and is based in Berkeley, California.",Software-2019
2036,Dex,Dex is a personal CRM that gives you relationship superpowers.,https://getdex.com/," Computer, CRM, Software",01 to 10 ," San Francisco, California, United States",2019," Consumer Electronics, Hardware, Information Technology, Sales and Marketing, Software","Dex is a personal CRM. You sync up your contacts/calendars, and it finds the people you haven’t kept in touch with and reminds you to reach out. You can add notes about a contact — like what you last spoke about, or what’s going on in their life — to help with the conversation next time you see them.",Software-2019
2037,DEX Exchange,DEX Exchange provides a global user experience to secure the utilization of decentralized and centralized technology products and services.,https://dexexchange.us/," Blockchain, Information Technology, Software",01 to 10 ," Northampton, Massachusetts, United States",2019," Information Technology, Other, Software","DEX Exchange provides a global user experience to secure a true and tangible utilization of decentralized and centralized technology products and services that is both innovative and peer to peer. It provides multiple trade pairings of TRON TRX, Ethereum ETH TRC10/20 & ERC20 Legitimate, and Verified Cryptocurrency Types.",Software-2019
2038,DFREE843,"Music, Business, Entertainment, & Technology",https://dfree843music.net/," Advertising, Consulting, Content Marketing, Digital Entertainment, Information Services, Internet, Marketing, Music, Music Label, Social Media",01 to 10 ," Somerville, New Jersey, United States",01-01-19 0:00," Advertising, Information Technology, Internet Services, Media and Entertainment, Music and Audio, Professional Services, Sales and Marketing","DFREE843 Inc. is a multi-tasks company that specialized in Business, Entertainment, and Technology. DFREE843 Inc., C. Corp, located in Somerville, NJ, and incorporated in New York as of Feb 2020.  DFREE843 Inc. develops and manages value-added Business, Entertainment, and Technology, provides expert consultation services and solutions in an efficient and customer-focused manner; and provides our employees with the tools necessary to meet our customers’ needs.  DFREE843 Inc. mission is to be a Business, Entertainment, and Technology company that is seen to have a positive change agent, recognized as a positive resource by our customers for delivering a standard of excellence while supporting their goals and business needs.  Our commitment to reach excellence in providing reliable Business, Entertainment, and Technology services of consistently high quality to people company, organizations, small startup firms. Our passion for learning and continuous improvement and our focus on adopting global services best practices and technologies. Our vision is to empowering a community of excellence.  DFREE843 INC.  owns Big Figure Dividends, BFD Capital Asset Management, Down South Ent., Digital Technology Training, DeTech, and Exclusive Keys Consulting.",Software-2019
2039,Digital 200,Digital 200 is a digital marketing company that provides web and mobile development services.,https://www.digital200.com/," Advertising, Digital Marketing, Web Development",01 to 10 ," Chicago, Illinois, United States",01-01-19 0:00," Advertising, Sales and Marketing, Software",,Software-2019
2040,Digital Lending Capital,Digital Lending Capital offers full-service institutional-grade prime brokerage services and technology for digital asset management.,https://www.dlcc.co/," Cryptocurrency, Financial Services, Lending, Risk Management",01 to 10 ," Jersey City, New Jersey, United States",01-01-19 0:00," Financial Services, Payments, Professional Services, Software","Full-Service Institutional-Grade Prime Brokerage for Digital Asset Management. DLCC offers full-service Prime Brokerage solutions for digital assets. Our all-in-one user interface leverages both API and Saas product offerings to connect clients with a growing network of liquidity providers to transact, borrow, and lend digital assets, and manage collateral. Our product suite also offers traditional Prime Brokerage services, such as consultation and capital introduction.",Software-2019
2041,ditto,Ditto allows teams to collaborate on consistent and effective copy.,http://dittowords.com," Collaboration, Product Design, Software, UX Design",01 to 10 ," San Francisco, California, United States",2019," Design, Other, Software","Ditto allows teams to collaborate on a consistent and effective copy.

With Ditto, teams can see edit history and status on individual pieces of text, sync duplicate text, search copy across all designs by text or metadata, and collaborate within and across teams. It is used by non-technical and technical people at numerous companies ranging from small startups to large tech corporations across industry verticals.",Software-2019
2042,Divebell,Divebell is a content aware solution for discovering and monitoring personal data to automate enterprise data privacy and security.,https://www.divebell.com/," Computer, Security, Software",01 to 10 ," San Francisco, California, United States",2019," Consumer Electronics, Hardware, Privacy and Security, Software",,Software-2019
2043,Diversity and Inclusion Learning Snippets,Diversity and Inclusion Learning Snippets is a company that builds tools and practices for better e-learning experience.,https://www.learningsnippets.ca/," E-Learning, Education, Online Portals",01 to 10 ," Ontario, California, United States",01-01-19 0:00," Education, Internet Services, Software",,Software-2019
2044,DLCartel,DLCartel is a carrier platform that provides rate visibility that’s essential to move loads efficiently as well as equitably.,http://dlcartel.com/," Productivity Tools, Shipping, Software, Transportation",01 to 10 ," Elmhurst, Illinois, United States",2019," Software, Transportation","DLCartel is a carrier platform that provides rate visibility that’s essential to move loads efficiently as well as equitably. It is an enablement platform that delivers the useful tools and valuable benefits that small to mid-size businesses normally can’t get their hands on, making them more competitive, which benefits customers by increasing competition.

DLCartel is headquartered in Elmhurst, Illinois.",Software-2019
2045,DNProtect,DNProtect is the Internet’s leading risk management service for internet domain names.,https://dnprotect.com," Domain Registrar, Information Services",01 to 10 ," Bellevue, Washington, United States",2019," Information Technology, Internet Services","DNProtect is the first and only solution for domain owners to protect their domain assets and recover stolen domain names. Offers DNP Score, which calculates the risk of a domain name. DNP Score is a type of risk score for domain names.",Software-2019
2046,Docket,Docket is a system of record and workflow management SaaS for legal teams.,https://www.getdocket.com," Legal, Management Information Systems, SaaS, Software",01 to 10 ," San Francisco, California, United States",2019," Information Technology, Professional Services, Software",,Software-2019
2047,Dockup,Dockup is a creatorof on-demand staging environments for engineering teams to save developers' time.,https://getdockup.com/," Information Technology, Web Design, Web Development",01 to 10 ," Mountain View, California, United States",2019," Design, Information Technology, Software",Dockup is a creator of on-demand staging environments for engineering teams to save developers' time.,Software-2019
2048,DOCUMENT CRUNCH,DOCUMENT CRUNCH is an AI platform for reviewing contracts and documents.,https://www.documentcrunch.com/," Artificial Intelligence, Computer, Software",01 to 10 ," Miami, Florida, United States",01-01-19 0:00," Artificial Intelligence, Consumer Electronics, Data and Analytics, Hardware, Science and Engineering, Software",,Software-2019
2049,Docuvision,DocuVision is an AI-powered personal data management platform for companies. We make privacy easy.,http://www.docuvision.ai," Artificial Intelligence, Information Technology",01 to 10 ," Berkeley, California, United States",2019," Artificial Intelligence, Data and Analytics, Information Technology, Science and Engineering, Software",Docuvision is an AI-powered platform used to find and redact sensitive data in large volumes of documents and emails.,Software-2019
2050,Double Loop Games,"Double Loop Games is a mobile studio dedicated to making delightful, relaxing experiences for the biggest audience in games.",https://www.doubleloopgames.com/," Digital Entertainment, Gaming, Mobile",01 to 10 ," San Francisco, California, United States",2019," Gaming, Media and Entertainment, Mobile","Double Loop Games is a mobile studio dedicated to making delightful, relaxing experiences for the biggest audience in games.",Software-2019
2051,DoubleGDP,"DoubleGDP is an application software to connect with residents, accelerate growth and deliver responsive public services.",https://www.doublegdp.com/," Communications Infrastructure, Communities, Software",01 to 10 ," Beaverton, Oregon, United States",2019," Community and Lifestyle, Hardware, Software",,Software-2019
2052,DrillSage,DrillSage utilizes a software design coupled with the internet technology and security.,https://www.drillsage.com/," Information Technology, Real Time, Software",01 to 10 ," Dallas, Texas, United States",01-01-19 0:00," Information Technology, Other, Software",,Software-2019
2053,Dripos,Dripos offers a point of sale solution for quick service restaurants.,https://www.dripos.com," Consumer Software, Restaurants, SaaS, Software",01 to 10 ," Boston, Massachusetts, United States",2019," Food and Beverage, Software","Drip is a software platform that provides POS, employee scheduling, payroll for restaurants.",Software-2019
2054,DriveMatch,DriveMatch is a provider of a job search platform used to match commercial drivers with carrier operators.,https://drivematch.com/," Human Resources, Logistics, Software, Supply Chain Management, Transportation",01 to 10 ," Charleston, South Carolina, United States",2019," Administrative Services, Software, Transportation","DriveMatch is a provider of a job search platform used to match commercial drivers with carrier operators. Its application helps drivers to find and apply to the carrier jobs and qualifies the driver for free, eliminating unwanted driver leads and detailed job postings to ensure clarity that enable commercial fleet operators to improve retention and speed to hire.",Software-2019
2055,Dropprint Genomics,Dropprint Genomics provides cell technology and machine learning models that characterize the immune system.,http://dropprintgen.com/," Big Data, Life Science, Machine Learning",01 to 10 ," San Francisco, California, United States",01-01-19 0:00," Artificial Intelligence, Biotechnology, Data and Analytics, Science and Engineering, Software","Dropprint Genomics provides cell technology and machine learning models that characterize the immune system.

It offers big data to the immune system by generating personalized maps of a patient's immune systems to better understand, control, and improve immune health.",Software-2019
2056,E-Notary Seal,"E-Notary Seal is an online notary services platform that provides online notary services and document signing anytime, anywhere.",https://e-notaryseal.com/," Document Management, E-Signature, Legal",01 to 10 ," Dallas, Texas, United States",2019," Information Technology, Privacy and Security, Professional Services, Software",,Software-2019
2057,Edgevana,Edgevana is a global marketplace for automating data centre procurement process.,https://www.edgevana.com/," Information Services, Information Technology, Marketplace",01 to 10 ," Vienna, Virginia, United States",01-01-19 0:00," Commerce and Shopping, Information Technology",,Software-2019
2058,EdigiZone,"Edigizone is a digital marketing company that provides web design, SEO, PPC management, email marketing, and SMO services.",https://www.edigizone.com/," Digital Marketing, SEO, Web Development",01 to 10 ," San Antonio, Texas, United States",01-01-19 0:00," Internet Services, Sales and Marketing, Software",,Software-2019
2059,Edlyft,Support platform helping college students & adult learners through CS courses by pairing them with mentors and online group tutoring.,https://edlyft.com/," E-Learning, Education",01 to 10 ," San Francisco, California, United States",2019," Education, Software","Edlyft is a paid support platform that helps college students and adult learners through CS courses, by pairing them with inclusive mentors, online group tutoring, and tools for navigating complex subjects.",Software-2019
2060,eForce Esports,Our project helps people  to be up to date with the latest events in the world of e-sports and achievements of favorite teams and players.,https://eforce.app/," eSports, Mobile Apps",01 to 10 ," San Jose, California, United States",01-01-19 0:00," Apps, Mobile, Software, Sports","Our project “eForce Esports” helps people wherever they are to be up to date with the latest events in the world of e-sports and achievements of favorite teams and players, not to miss online events and watch streamings directly in the mobile application.",Software-2019
2061,Elate,Elate is an operations platform designed to reach business outcomes by unifying internal technologies and disparate data.,http://www.goelate.com," Computer, Productivity Tools, Software",01 to 10 ," Indianapolis, Indiana, United States",2019," Consumer Electronics, Hardware, Software","Elate is driving alignment and making reporting easier by creating a single source of truth for goals and KPIs. 

Be sure to follow our Twitter and company LinkedIn page to stay up to date with our latest news and content!",Software-2019
2062,Ello,The world’s first AI reading coach that works with real books.,https://www.helloello.com/," Apps, Artificial Intelligence, E-Learning, Education",01 to 10 ," San Francisco, California, United States",2019," Apps, Artificial Intelligence, Data and Analytics, Education, Science and Engineering, Software","Ello revolutionizes the way children learn to read by combining real books with artificial intelligence technology and, in so doing, gives each child their own expert teacher. Ello uses evidence-based reading instruction to help them when they get stuck and behavioral psychology to motivate them to keep going.

We believe books are the portal to lifelong learning, and when children make a personal connection with a real book their natural, joyful curiosity flourishes.",Software-2019
2063,Elodie Games,Elodie Games connect gamers around the globe by creating games with deep co-op gameplay and endlessly engaging experiences.,https://elodie.games/," Gaming, Information Technology, Internet, Online Games",01 to 10 ," Venice, California, United States",2019," Gaming, Information Technology, Internet Services","Elodie Games connect gamers around the globe by creating games with deep co-op gameplay and endlessly engaging experiences.  They engaged with the community to evolve and improve the player experience. 

Elodie's studio is located in Venice California. It was co-founded by Christina Norman and David Banks.",Software-2019
2064,elovee,Elovee is a health and wellness company that features conversation software to create a digital render of a family member.,https://www.elovee.com/," Health Care, Information Technology, Software",01 to 10 ," New York, New York, United States",2019," Health Care, Information Technology, Software","Elovee is a health and wellness company that features conversation software to create a digital render of a family member. Its mission is to change the way we look at dementia care by connecting caregiver’s expertise with the face and voice of family. 

It was founded in 2019 and headquartered in",Software-2019
2065,EltonAI,EltonAI is a developer of Robotic Process Automation software.,http://www.eltonai.com/," Event Management, Information Technology, Software",01 to 10 ," San Francisco, California, United States",2019," Events, Information Technology, Media and Entertainment, Software",EltonAI is a developer of Robotic Process Automation software.,Software-2019
2066,Empodio,Empodio provides Salesforce and field service lightning consulting services.,https://empodio.io/," Cloud Data Services, Information Technology",01 to 10 ," Buffalo, New York, United States",01-01-19 0:00," Information Technology, Internet Services",,Software-2019
2067,EMTranslate,EMTranslate develops an application that allows EMS workers to hurdle language barriers with patients in the field.,https://www.emtranslate-app.com/," Apps, Natural Language Processing, Software",01 to 10 ," Berkeley, California, United States",2019," Apps, Artificial Intelligence, Data and Analytics, Software","EMTranslate develops an application that allows EMS workers to hurdle language barriers with patients in the field. The company was founded in 2019 and is based in Berkeley, California.",Software-2019
2068,emVitals,"emVitals offers a mobile healthcare application designed to assess, understand, and track risk for common behavioral health conditions.",https://emvitals.com/," Health Care, Information Technology, Wellness",01 to 10 ," Hampstead, Maryland, United States",2019," Health Care, Information Technology","emVitals partners with employers and providers to create emotionally vital workplaces by delivering emotional health solutions. It offers a mobile healthcare application designed to assess, understand, and track risk for common behavioral health conditions.

The company's platform provides a questionnaire to assesses common behavioral health conditions and identifies indicators of low emotional well-being, enabling participants to work with clinicians who help to create personalized action plans, connect them with employer-sponsored benefits, and community resources and provide ongoing support.",Software-2019
2069,Enchanted Security,Enchanted Security is a virtual content security policy to protect websites from client-side threats such as Magecart.,https://enchantedsecurity.com/," CRM, Information Technology",01 to 10 ," Palo Alto, California, United States",2019," Information Technology, Sales and Marketing, Software",,Software-2019
2070,EONXI,Venture Fund and Startup Studio,http://www.eonxi.com," Blockchain, Consumer, Enterprise Software, eSports, Gaming, Internet",01 to 10 ," Miami, Florida, United States",2019," Gaming, Internet Services, Other, Software, Sports","EONXI is a venture capital fund and startup studio
.",Software-2019
2071,Equip ID,Equip ID connects mechanical equipment to the digital world using NFC tags to deliver equipment-specific data and supportive content.,http://www.equipid.com/," Autonomous Vehicles, Information Services, Information Technology, Internet",01 to 10 ," New York, New York, United States",2019," Information Technology, Internet Services, Transportation","Equip ID is a verification platform that connects mechanical equipment to the digital world using NFC tags to deliver equipment-specific data and supportive content. It delivers EI (Equipment Intelligence) to all stakeholders in the delivery and management of inspection, testing, maintenance, and repair services. This includes site management and staff, building engineers, service contractors, and service technicians.

Equip ID was founded in 2018 and is headquartered in New York.",Software-2019
2072,Equipped,"Equipped lockers give access to users to everything that they need and where they work, play, and stay.",https://imequipped.com/," Facilities Support Services, Facility Management, Information Technology, Mobile Apps, Software",01 to 10 ," Palo Alto, California, United States",2019," Administrative Services, Apps, Information Technology, Mobile, Real Estate, Software","Equipped lockers give access to users to everything that they need and where they work, play, and stay. Users can easily borrow high-end equipment in parks, apartments, offices, and more with Equipped lockers. There will be no more missing out, because users did not buy or bring something with them. Equipped lockers are durable, versatile, and controlled with their smartphones. They just have to open the locker, borrow what they need, and return it when they are done. It is that easy!",Software-2019
2073,Equll,Equll makes a mobile app and an online platform to connect owner-operators with shippers.,https://www.equll.co/," Mobile Apps, Shipping, Software, Transportation",01 to 10 ," Seattle, Washington, United States",2019," Apps, Mobile, Software, Transportation","Equll makes a mobile app and an online platform to connect owner-operators with shippers. It aims to build the world’s largest trucking company, a true operator/carrier, and marketplace, digital native, and driven to re-engineer the system.

It was founded in 2019 and is headquartered in Seattle, Washington.",Software-2019
2074,Erdosity,Democratizing knowledge with deep learning and enabling companies to accelerate their AI journey by harnessing the wisdom of the crowd,http://www.erdosity.ai," Artificial Intelligence, Cloud Computing, Finance, Machine Learning, Natural Language Processing, Predictive Analytics",01 to 10 ," Houston, Texas, United States",2019," Artificial Intelligence, Data and Analytics, Financial Services, Internet Services, Science and Engineering, Software","Erdosity mission is to circumvent the shortage of subject matter expertise through AI transfer learning by empowering organizations with semantic knowledge graph models built by harnessing massive external, public data sources. Erdosity also aims to accelerate the process of identifying actionable signals from internal, proprietary unstructured data sources through transfer learning powered by external data sources.",Software-2019
2075,Erudite,Erudite is an AI-based reading platform for college students and lifelong learners.,https://www.goerudite.com/," Artificial Intelligence, E-Learning, Education",01 to 10 ," Santa Monica, California, United States",01-01-19 0:00," Artificial Intelligence, Data and Analytics, Education, Science and Engineering, Software",,Software-2019
2076,Escalated.io,Real-Time Ad Fraud Prevention and Monitoring SAAS Platform,https://www.escalated.io," Advertising, Internet, SaaS, Software",01 to 10 ," Carmel, Indiana, United States",2019," Advertising, Internet Services, Sales and Marketing, Software","Escalated.io is a real-time fraud prevention and monitoring SAAS Platform. Our services were built to be affordable and flexible enough to be used by individuals and companies of any size or budget. Protect from ad fraud, click fraud, and other harmful bot activities. Increase brand safety and protect relationships. Bots are bad for business!",Software-2019
2077,Esqapes Immersive Relaxation,VR Based Wellness,https://www.myesqape.com," Franchise, Recreation, Retail, Virtual Reality, Wellness",01 to 10 ," Los Angeles, California, United States",2019," Commerce and Shopping, Hardware, Health Care, Other, Software, Sports","Esqapes is an entirely new way to ease your worries and relax. We pair fantastic, beautifully crafted, virtual environments with a soothing massage and extra-sensory stimulus to transport your mind and body to another place.",Software-2019
2078,EstateSpace,EstateSpace develops mobile asset management solutions.,https://estatespace.com/," Asset Management, Financial Services, Software",01 to 10 ," Great Falls, Virginia, United States",01-01-19 0:00," Financial Services, Software",,Software-2019
