description,website,crunchbase_link,name,activity_level,market,products,revenue_through,founded_by,founded,place,team_members,launch_stage,revenue_stage,amount_raised,twitter_followers,percentile,pageviews,Alexa Ranking
"At 1st Choice Dental, our goal is to provide our patients",http://www.1st-choicedental.com/?ref=startuptracker,https://startuptracker.io,1st Choice Dental,1,health,service,other,,January 2 1998,North Hollywood US,1,3,1,Self,4.6m,9,1k,4.6m
We are proud to serve our community in Inland Empire,https://www.zrawa.com?ref=startuptracker,https://startuptracker.io,"Rawa Law Group, APC",1,"other, advertising",service,"b2b, other",,January 2 1988,Long Beach US,1,3,1,Self,4.8m,9,964,4.8m
ChefSelect 361 is the child company of Pyramid Food Service,http://chefselect361.com?ref=startuptracker,https://startuptracker.io,Chef Select 361 corp,1,advertising,service,"b2b, other",,January 2 1988,Newark US,1,3,1,Self,9,9,Self,0
The team at Dimensional has a combined 190+ years of experience.,http://dimensionalsilkscreen.com/?ref=startuptracker,https://startuptracker.io,Dimensional Silk Screen Digital Printing,1,advertising,other,"b2b, advertising",,January 2 1988,San Diego US,1,2,1,Self,9,9,Self,0
"Legal counsel serving clients in the areas of technology, innovation, competition, and creativity.",https://LexAlchemy.com?ref=startuptracker,https://angel.co/lexalchemy,LexAlchemy,4,"biotech, e commerce, startups, accounting and legal",service,"b2c, b2b, other","Joshua A. Davis, Esq. ⚖️⚗️",February 1 2018,Atlanta US,1,3,2,Undisclosed,79,9,0,0
Studio City Orthodontist,http://www.orthodontiststudiocity.com/?ref=startuptracker,https://startuptracker.io,Studio City Orthodontist,1,advertising,service,other,,January 2 1988,Studio City US,1,3,1,Self,5.5m,9,835,5.5m
"Dialysis 4 Career, School of Hemodialysis is a licensed and registered",http://www.dialysis4career.com?ref=startuptracker,https://startuptracker.io,Dialysis 4 Career,1,health,service,"b2b, other",,January 2 1988,Hempstead US,1,3,1,Self,9,9,Self,0
We provide the top experience in the industry when it comes to Private Deep Sea Fishing Charter,https://foxseacharters.com/?ref=startuptracker,https://startuptracker.io,Foxsea Sport Fishing Charters,1,advertising,other,"b2c, other",,January 1 1988,Fort Lauderdale US,1,3,1,Self,9,9,Self,0
With over 20 years of electronics repair experience,http://www.cellphonedoctormd.com/?ref=startuptracker,https://startuptracker.io,Cell Phone Doctor,1,marketing,mobile app,"b2c, other",,January 2 1988,Glen Burnie US,1,3,1,Self,9,9,Self,0
Keep a journal in your favorite messaging app.,https://www.journalflow.com?ref=startuptracker,https://angel.co/company,JournalFlow,4,"health, productivity, messaging","service, web app","other, subscription",JournalFlow,April 24 2019,SF US,2,3,1,Self,8,9,696,6.6m
"Checkins, bookmarks and recommendations for travel destinations. Integrated with FitBit, Instagram, Facebook, and more",http://roadgoat.com?ref=startuptracker,https://www.crunchbase.com/organization/roadgoat,RoadGoat,1,"iot, social networks, travel, ai",web app,"b2c, free to use",Kurosh Hashemi,November 23 2018,New York US,11-50,3,1,Undisclosed,See,9,1.6k,2.9m
Angel City Animal Hospital is a brand new veterinary clinic that provide affordable services in your neighborhood of Silverlake,http://angelcityvet.com/?ref=startuptracker,https://startuptracker.io,Angel City Animal Hospital,1,other,service,"b2b, other",,January 2 1990,Los Angeles US,1,3,1,Self,6.6m,9,703,6.6m
The most uninhibited live streaming platform,https://jiggles.tv?ref=startuptracker,https://www.crunchbase.com/organization/jiggles-tv,Jiggles TV,1,"advertising, entertainment, media, social networks","service, web app","b2c, b2b, other, free to use, commission, advertising, affiliation, freemium, sales, subscription",Jiggles TV,March 3 2018,Sacramento US,1,1,1,Undisclosed,13,9,13,0
DODOcase VR is a specialist in custom branded virtual and augmented reality headsets.,https://www.dodocasevr.com/?ref=startuptracker,https://www.crunchbase.com/organization/dodocase-vr,DODOcase VR,1,other,mobile app,"b2c, advertising",,January 2 1988,Mill Valley US,1,3,1,Self,4.2m,9,1.1k,4.2m
Fresh Pawz revitalizes the market of dog accessories by introducing streetwear influence.,http://www.freshpawz.com?ref=startuptracker,https://www.crunchbase.com/organization/fresh-pawz,Fresh Pawz,1,"e commerce, fashion, retail",physical goods,"b2c, b2b, sales",,January 5 2018,Los Angeles US,4,3,1,Self,419k,9,11.3k,419k
"Mojeezy aspires to be the #1 marketplace for anything health and wellness where people worldwide can buy, sell, and interact.",http://www.mojeezy.com?ref=startuptracker,https://producthunt.com/posts/mojeezy,Mojeezy,4,"food and beverages, e commerce, fashion, health","service, web app","b2c, commission",,March 15 2019,Houston US,2,1,1,Undisclosed,9,9,Undisclosed,0
Track & Field Exchange is the premier fantasy track and field website for cash prizes.,https://www.trackandfield.exchange?ref=startuptracker,https://crunchbase.com/organization/track-field-exchange,Track & Field Exchange,1,"finance, marketing, media, sharing economy","mobile app, service, web app","other, b2c, subscription",,May 1 2019,"Dallas, Texas US",1,1,1,Undisclosed,See,9,0,0
"The Social Cafe | Social Media Marketing, Local SEO, Email Marketing, etc",https://thesocialcafe.com?ref=startuptracker,https://crunchbase.com/organization/the-social-cafe,The Social Cafe,4,"advertising, marketing, media, social networks","mobile app, service, web app","b2b, free to use, subscription",The Social Cafe,February 15 2018,Miami US,1,1,1,Undisclosed,1k,9,1.1k,4.3m
Get answers to your questions from Silicon Valley experts,https://www.advisely.co?ref=startuptracker,https://betalist.com/startups/advisely-co,Advisely,4,consulting,desktop app,"b2c, commission","Chris Tung, Huttle",March 19 2019,San Francisco US,1,2,2,Self,7,9,1k,4.4m
We help lawyers and law students improve their professional and personal lives.,http://www.jurdu.com?ref=startuptracker,https://crunchbase.com/organization/jurdu,Jurdu,1,"hr and recruitment, accounting and legal, content",web app,"b2c, free to use, advertising",Jon Strom,February 8 2019,Brooklyn US,3,3,2,Undisclosed,See,9,0,0
Pacific Solstice Behavioral Health is a Primary Mental Health facility that specializes in Trauma and Addiction.,https://pacificsolstice.com/?ref=startuptracker,https://startuptracker.io,Pacific Solstice Behavioral Health,1,marketing,other,"b2c, other",,January 2 1988,Laguna Hills US,1,1,1,Self,See,9,1.7k,2.7m
"Private, secure productivity suite",https://graphitedocs.com?ref=startuptracker,https://www.producthunt.com/posts/graphite?utm_campaign=producthunt-api&utm_medium=api&utm_source=Application%3A+Startup+Tracker+%28ID%3A+676%29,Graphite,4,"education, productivity, blockchain, content",web app,"b2b, freemium",Justin Hunter,March 1 2018,Dallas US,1,3,1,Self,1.6k,9,1.6k,0
Make instant music with artificial intelligence,https://boomy.com?ref=startuptracker,https://angel.co/boomy,boomy,1,music,"desktop app, mobile app, service, web app","b2c, free to use, freemium, subscription",Alex Jae Mitchell,October 25 2018,San Mateo US,10-May,2,1,Undisclosed,1.7k,9,13.1k,361.2k
Air Animal Pet Movers make your upcoming move as easy as that trip to the pet play store. Air Animal are a rare find,https://www.airanimal.com/?ref=startuptracker,https://startuptracker.io,Air Animal Pet Movers,1,advertising,service,"b2c, advertising",,January 2 1988,Tampa US,1,3,1,Self,610k,9,7.7k,610k
"We mint AI artwork on the blockchain, every day",https://www.painterDAO.com?ref=startuptracker,https://startuptracker.io,Painter DAO,4,"blockchain, ai",web app,"other, free to use",Dennis Warfield,December 1 2018,New York US,2,1,1,Self,6,9,6,0
Online SVG Animation Creator - No Coding Skills Required,https://www.svgator.com?ref=startuptracker,https://producthunt.com/posts/svgator-2,SVGator,1,"design, software dev",web app,"b2c, subscription",SVGator,October 12 2017,San Francisco US,11-50,3,1,Undisclosed,684,9,114.6k,42k
"With a swift scan using their camera, your new-found friend will see your contact deets appear right into their Contacts list.",http://www.squiqr.com?ref=startuptracker,https://angel.co/squiqr,Squiqr - Digital Business Card,4,"marketing, media, social networks, content",mobile app,"b2c, freemium","Tunniverse, Mark Suarkeo",January 31 2019,Los Angeles US,2,1,1,Undisclosed,235,9,235,0
"Content Rich Platform for Jobs, Career, Skills and Interview Tips in Indian Languages.",https://www.mintly.in?ref=startuptracker,https://angel.co/mintly,Mintly,1,"education, hr and recruitment, blockchain, content","mobile app, web app","b2c, b2b, free to use, commission, freemium",Suddan S S,September 6 2016,Indianapolis US,11-50,3,1,350k,8.3k,9,3.6k,1.3m
Peaches focuses on helping you achieve your perfect skin.,https://peachesskincare.com?ref=startuptracker,https://startuptracker.io,"Peaches Skin Care - Long Beach, CA",1,advertising,service,"b2c, advertising",,January 2 1988,Long Beach US,1,3,1,Self,1.1m,9,4.2k,1.1m
Epixel MLM Software - For All Multi-Level Marketing Business,https://www.epixelmlmsoftware.com/?ref=startuptracker,https://www.crunchbase.com/organization/epixel-solutions,Epixel MLM Software,1,"consulting, e commerce, blockchain, software dev","desktop app, service, web app","other, b2b, sales",Epixel MLM Software,August 31 2008,San Bruno US,51-100,3,1,Undisclosed,1.1k,9,36.8k,129.8k
Deel simplifies compliance and payments for companies working with remote contractors.,https://www.letsdeel.com/?ref=startuptracker,https://www.crunchbase.com/organization/deel,Deel,1,"finance, hr and recruitment, startups, accounting and legal","other, service","b2c, b2b, commission, subscription","Alex Bouaziz, Shuooo",November 5 2018,San Francisco US,10-May,3,1,Undisclosed,See,9,256.8k,18.9k
"We are a full-service Accounting firm. We have successfully served and continue to serve business owners,",http://www.kangthomascpa.com/?ref=startuptracker,https://startuptracker.io,Kang & Thomas LLC,1,advertising,service,"b2b, advertising",,January 2 1988,Fairfax US,1,3,1,Self,4.3m,9,1.1k,4.3m
"Here at Vision Property Management, we pride ourselves in providing our clients full service property management, serving Oakland,",https://vpmpropertymanagement.com/?ref=startuptracker,https://startuptracker.io,Vision Property Management,1,advertising,service,"b2c, other",,January 2 1988,Oakland US,1,3,1,Self,9,9,Self,0
PromSocial is a social networking app that makes the entire prom experience fun and stress free.,http://www.promsocial.com?ref=startuptracker,https://angel.co/promsocial,PromSocial,4,"other, advertising, marketing, social networks","other, mobile app, service","b2b, free to use, commission, advertising, sales, subscription",PromSocial,August 1 2013,Old Bridge US,10-May,3,1,Self,349,9,840,5.5m
Empowering individuals to transform their lives through the practice of mindfulness.,http://summitmindfulness.com?ref=startuptracker,https://www.crunchbase.com/organization/summit-mindfulness-llc,Summit Mindfulness,4,"consulting, education, health, content","other, service","other, b2c, b2b, free to use, commission",Summit Mindfulness,October 15 2015,Beaverton US,1,3,2,Undisclosed,430,9,0,0
Providing quality home & office cleaning services to the Dallas-Fort Worth area.,https://valetmaids.com/?ref=startuptracker,https://startuptracker.io,Valet Maids,1,advertising,service,"b2c, advertising",,January 2 1988,Dallas US,1,3,1,Self,1.9m,9,2.5k,1.9m
Libris teaches children to read by reading books to them,https://libris.app?ref=startuptracker,https://startuptracker.io,Libris,4,education,web app,"b2c, free to use",librisapp,March 15 2019,Berkeley US,2,2,1,Self,6,9,6,0
Chisel Analytics provides an on demand analytics workforce and the tools you need to manage your analytics projects.,https://chiselanalytics.com?ref=startuptracker,https://angel.co/chisel-analytics,Chisel Analytics,4,"analytics, consulting, data","desktop app, service, web app","b2b, b2g, other, freemium",Chisel Analytics,April 15 2019,Dallas US,1,2,1,Undisclosed,78,9,1.5k,3m
Largest community-curated collection of natural USA farmed CBD products that people use and love.,http://hempesphere.com/?ref=startuptracker,https://www.crunchbase.com/organization/hempesphere,hempesphere,4,"advertising, food and beverages, health, marketing",web app,"other, b2c, free to use, affiliation",Masha,March 1 2019,Chicago US,2,3,1,Self,79,9,79,0
Web and mobile app development using latest technology,https://vanila.io?ref=startuptracker,https://angel.co/vanila-web-studio,Vanila.io,1,"design, e commerce, startups, bots","mobile app, service, web app","b2b, sales","Stefan Smiljkovic, Jelena Jovanovic",September 15 2015,New Smyrna Beach US,10-May,3,2,Undisclosed,4.9k,9,6.7k,705.7k
KOYA pairs kindness and connection to create personalized messages discoverable anywhere in the world.,https://getKoya.com?ref=startuptracker,https://crunchbase.com/organization/koya-innovations-inc,KOYA Innovations Inc.,1,"other, social networks, startups",mobile app,"b2c, free to use, subscription","u✪ſ, Adidas",August 1 2018,Austin US,10-May,2,1,Undisclosed,478,9,19.2k,247.4k
