,company_name,description,cleaned_description
2553,Picasso Analytics,"Picasso Analytics simplified data analysis platform, that offers solutions to integrate the project,schedule it cost effectively",picasso analytics simplified data analysis platform offer solution integrate projectschedule cost effectively
2554,Picogrid,"Picogrid builds AI-powered monitoring technology for critical infrastructure, defense, and wildfire prevention.",picogrid build aipowered monitoring technology critical infrastructure defense wildfire prevention
2555,Pigeon Loans,"Pigeon Loans is a peer-to-peer lending platform that facilitates loans between family, friends, and loved ones.",pigeon loan peertopeer lending platform facilitates loan family friend loved one
2556,PingPong,"PingPong is a communication platform that enables remote teams to collaborate through video, voice, and screen recording sharing.",pingpong communication platform enables remote team collaborate video voice screen recording sharing
2557,PostHog,"Open source product analytics. Track every event with a one line install, and stay in control of all your data, featuring hedgehogs.",open source product analytics track every event one line install stay control data featuring hedgehog
2558,PostureHealth,Empowering people to be more healthy and productive while they work through ergonomic (posture) correction software,empowering people healthy productive work ergonomic posture correction software
2559,Potlatch,Potlatch is a one-one personalized matching and scheduling platform for startup founders to connect people in communities.,potlatch oneone personalized matching scheduling platform startup founder connect people community
2560,Pottsgrove Farms,Pottsgrove Farms is a virtual Cannabis research overview of the perfected strain creations.,pottsgrove farm virtual cannabis research overview perfected strain creation
2561,PowerX,"PowerX is a technology startup that creates a line of precision sensors that gather data about a home’s electricity, gas, and water usage.",powerx technology startup creates line precision sensor gather data home’s electricity gas water usage
2562,Precog Data Inc.,Precog is AI for Data Engineering,precog ai data engineering
2563,PrimeID,"PrimeID protects customer identities on social media, online marketplaces and communications platforms.",primeid protects customer identity social medium online marketplace communication platform
2564,Prism Analytic Technologies,"Prism is a software company operating a centralized, clinical trial meta-data platform.",prism software company operating centralized clinical trial metadata platform
2565,Procoto,Self-service procurement software for small and mid-sized businesses,selfservice procurement software small midsized business
2566,Prodokit,"Prodokit provides business technology solutions and services for various industries including eCommerce, SaaS, and marketing.",prodokit provides business technology solution service various industry including ecommerce saas marketing
2567,ProFindible,The World's Largest Marketplace to find Industry expert Tax & Accounting Professionals.,world largest marketplace find industry expert tax  accounting professional
2568,Qaleen,"Qaleen is luxury marketplace that sell fine-quality rugs to US, Pakistan and rest of the world",qaleen luxury marketplace sell finequality rug u pakistan rest world
2569,Qhanu Inc.,B2B platform connecting brands with augmented reality solutions for eCommerce and social media.,b2b platform connecting brand augmented reality solution ecommerce social medium
2570,QS Capital Advisors,Investment Bank,investment bank
2571,QuikPlace,QuikPlace offers instantly promote brand or music on TikTok.,quikplace offer instantly promote brand music tiktok
2572,Quin,quin’s mission is to provide a holistic financial safety net to everyone.,quin’s mission provide holistic financial safety net everyone
2573,Quipr,"People, Culture, Communication.",people culture communication
2574,Rakana Technologies,Rakana Technologies is an IT firm that provides IoT design services and software solutions to several industries.,rakana technology firm provides iot design service software solution several industry
2575,Rangr,"Rangr is a new app that helps make the outdoors exciting, fun, and safe.",rangr new app help make outdoors exciting fun safe
2576,RentDrop,RentDrop makes the property rental experience extraordinary for landlords and tenants.,rentdrop make property rental experience extraordinary landlord tenant
2577,Rentto - Property Management Software,Property Management solutions that grow,property management solution grow
2578,Reprise,Reprise is a developer of a demo creation platform used to create and control software demos.,reprise developer demo creation platform used create control software demo
2579,Resultably,B2B SaaS analytics,b2b saas analytics
2580,Resume Sieve,Resume Sieve is a developer of tools designed to disrupt traditional recruiting models while providing a space for recruiters.,resume sieve developer tool designed disrupt traditional recruiting model providing space recruiter
2581,ResumeZest,Resume Writing Services,resume writing service
2582,ReturnSafe,The first end to end platform for managing infectious disease.,first end end platform managing infectious disease
2583,ReviewNPrep,ReviewNPrep is an ed-tech company that helps its users prepare for their next certification. There are practice exams on the marketplace.,reviewnprep edtech company help user prepare next certification practice exam marketplace
2584,Rialtic,Rialtic develops an open marketplace platform that equips and enables accurate payments in healthcare.,rialtic develops open marketplace platform equips enables accurate payment healthcare
2585,Ribbon,Ribbon is a one-stop-shop online platform for live and recorded events that provides services such as Zoom integrations and email marketing.,ribbon onestopshop online platform live recorded event provides service zoom integration email marketing
2586,Ridepanda,Ridepanda is an online e-ride shop that offers electric vehicles with maintenance support and theft protection.,ridepanda online eride shop offer electric vehicle maintenance support theft protection
2587,Ryan Paonessa Design,"Ryan Paonessa Design provides web and brand identity design, development, and consulting.",ryan paonessa design provides web brand identity design development consulting
2588,Sa Wea Luxury,Sa Wea Luxury operates as a technological luxury cannabis brand.,sa wea luxury operates technological luxury cannabis brand
2589,SaaS Alerts,SaaS Alerts is a cloud security company built for MSPs to protect and monetize customer SaaS applications.,saas alert cloud security company built msps protect monetize customer saas application
2590,Sacra,Sacra provides a digital platform for researching information on the private markets.,sacrum provides digital platform researching information private market
2591,SAFE,"SAFE is disrupting the authentication and access industry with our password-free, smartphone enabled, patented system.",safe disrupting authentication access industry passwordfree smartphone enabled patented system
2592,SafeAccess,SafeAccess provides a SaaS platform that enables enterprises to safely bring people.,safeaccess provides saas platform enables enterprise safely bring people
2593,Sagelink,Sagelink is building a AI-powered workflow management for customer success teams.,sagelink building aipowered workflow management customer success team
2594,Sales Community,"sales community is a portal that offers sales strategies, social networks, leadership, brand building & career advancement solutions.",sale community portal offer sale strategy social network leadership brand building  career advancement solution
2595,SameTunes,"SameTunes is a technology company specializing in the online comparison, compatibility, and discovery of music.",sametunes technology company specializing online comparison compatibility discovery music
2596,Sanlo,Vertically-focused platform of financial services for the gaming & app companies,verticallyfocused platform financial service gaming  app company
2597,Sardine,Sardine provides fraud prevention as a service solution for the digital economy.,sardine provides fraud prevention service solution digital economy
2598,Savvi,Savvi is a developer of Artificial Intelligence-based technology used to discover and implement decisions.,savvi developer artificial intelligencebased technology used discover implement decision
2599,Savvy,Savvy allows landlords to offer cashback on rent as well as discounts at local and internet businesses to their tenants.,savvy allows landlord offer cashback rent well discount local internet business tenant
2600,Semiotic AI,Semiotic AI provides encrypted computing services in the cloud based on Fully Homomorphic Encryption (FHE).,semiotic ai provides encrypted computing service cloud based fully homomorphic encryption fhe
2601,Sensable,Sensable is a vision platform built for industrial engineering.,sensable vision platform built industrial engineering
2602,Sensitive Home,Sensitive Home is a manufacturer and seller of plant-based cleaning solutions designed for customers with sensitive skin.,sensitive home manufacturer seller plantbased cleaning solution designed customer sensitive skin
2603,Sevco Security,Sevco Security is a provider of cybersecurity services and products for cyber experts.,sevco security provider cybersecurity service product cyber expert
2604,Shipyard,Shipyard  creates and manages copies of your environments (app),shipyard  creates manages copy environment app
2605,Sign Hill Consulting,"Sign Hill Consulting is a management firm that offers product strategy, data inventory, implementation and technology solutions.",sign hill consulting management firm offer product strategy data inventory implementation technology solution
2606,Siimee™,"A mission-driven startup providing an equitable and unbiased connection experience between job seekers and employers by weaving compassion, community, access, accountability, and respect into every fiber of the recruiting process.",missiondriven startup providing equitable unbiased connection experience job seeker employer weaving compassion community access accountability respect every fiber recruiting process
2607,Sillo,Sillo is a mobile application that helps students build confidence through initial anonymous conversations.,sillo mobile application help student build confidence initial anonymous conversation
2608,Simply,Simply is a tech-driven real estate investment platform that enables homeowners to sell properties that need a little TLC,simply techdriven real estate investment platform enables homeowner sell property need little tlc
2609,Sir Hemp Co.,Wellness company focused on all natural high grade hemp plant extracts. Manufactured in-house. All products are 3rdParty Tested,wellness company focused natural high grade hemp plant extract manufactured inhouse product 3rdparty tested
2610,Skan Technologies,Skan Technologies is an engineering analytics‎ app that helps in tracking engineer behavior and output to increase productivity.,skan technology engineering analytics‎ app help tracking engineer behavior output increase productivity
2611,SKUVision,SKUVision is an inventory management platform that aims to help businesses of all sizes in supply chain logistics and manufacturing.,skuvision inventory management platform aim help business size supply chain logistics manufacturing
2612,SkyFort,Secure Internet-as-a-Service,secure internetasaservice
2613,SkyX Group,"SkyX Group Inc. focuses on design, manufacture, and distribution of consumer hardware and medical devices.",skyx group inc focus design manufacture distribution consumer hardware medical device
2614,Slap,Let the fun begin with Slap: Sounds like a plan is a new video-based social planning app that supercharges your social life.,let fun begin slap sound like plan new videobased social planning app supercharges social life
2615,Slim.AI,"Slim.AI helps application developers create, build, deploy and run their cloud native apps with zero friction, complexity, and waste.",slimai help application developer create build deploy run cloud native apps zero friction complexity waste
2616,SmallTalk,"SmallTalk is an online language simulator that improves English speaking skills, prepare for IELTS, TOEFL, and job interview.",smalltalk online language simulator improves english speaking skill prepare ielts toefl job interview
2617,Smart Metrics,Daily Analytics and Marketing Tasks,daily analytics marketing task
2618,SmartAC.com,"SmartAC.com is a machine learning health platform that provides heating, ventilation, and air conditioning (HVAC) services.",smartaccom machine learning health platform provides heating ventilation air conditioning hvac service
2619,SmartAddress.IO,Simpler addresses | Smarter logistics,simpler address  smarter logistics
2620,SMARTii Forms,"Saas, Mobile App.",saas mobile app
2621,Snackwyze,The easiest and fastest way to create interactive walkthroughs and demos from screen recordings in seconds,easiest fastest way create interactive walkthroughs demo screen recording second
2622,splashmob,Splashmob is a computer software company that specializes in live events.,splashmob computer software company specializes live event
2623,splyt,We create frictionless experiences for people who live in the moment.,create frictionless experience people live moment
2624,Spokn,Podcasting platform for work,podcasting platform work
2625,Sponsored,Sponsored is a self-serve marketplace that offers scale and optimize podcast sponsorship channel for marketers.,sponsored selfserve marketplace offer scale optimize podcast sponsorship channel marketer
2626,Spoolify,Spoolify is an AI Platform connecting services to skills in maritime.,spoolify ai platform connecting service skill maritime
2627,SportsTrace,Moneyball for Motion - AI video automation to help athletes and coaches succeed,moneyball motion  ai video automation help athlete coach succeed
2628,Squeet,"Squeet is a mobile app that helps groups of people decide a place, movie or common time in a fast and simple way.",squeet mobile app help group people decide place movie common time fast simple way
2629,StackPulse,StackPulse helps SREs and developers make their software services more reliable through automation and orchestration.,stackpulse help sres developer make software service reliable automation orchestration
2630,Stuf,"Stuf is a self-storage startup that converts unused spaces into a storage, making it accessible for their users.",stuf selfstorage startup convert unused space storage making accessible user
2631,STYNGR,STYNGR is an online store offering an in-game music experience with the latest popular tracks for players.,styngr online store offering ingame music experience latest popular track player
2632,Stytch,Stytch improves security and user experience with passwordless authentication.,stytch improves security user experience passwordless authentication
2633,Subskribe,Subskribe is a next-generation subscription management system that has fine-grained flexibility and customizability.,subskribe nextgeneration subscription management system finegrained flexibility customizability
2634,Sunbreak,Sunbreak is a digital personalization engine that accelerates engagement with their websites.,sunbreak digital personalization engine accelerates engagement website
2635,Sunnie,Sunnie provides a plant-forward pre-packaged lunchbox filled with healthy foods for kids.,sunnie provides plantforward prepackaged lunchbox filled healthy food kid
2636,Sunny75,Sunny75 is a mobile app that provides an outdoor camp planning application for backpacking adventures.,sunny75 mobile app provides outdoor camp planning application backpacking adventure
2637,SunStream Business Services,"SunStream Business Services provides applications, technology services, and business services to farm credit entities.",sunstream business service provides application technology service business service farm credit entity
2638,Superculture,Superculture is a boutique leadership development firm that offers executive coaching for startup founders and operators.,superculture boutique leadership development firm offer executive coaching startup founder operator
2639,SuperOps.ai,SuperOps.ai is an early stage startup in the MSP space.,superopsai early stage startup msp space
2640,Superstars,Professional Network,professional network
2641,Supir,Marketplace for freelance bus and truck drivers,marketplace freelance bus truck driver
2642,SW-Motech,"SW-Motech is a webshop that supplies luggage systems, side carriers, tank bags, accessories for navigation, power supply & motorcycle gears.",swmotech webshop supply luggage system side carrier tank bag accessory navigation power supply  motorcycle gear
2643,Sweave,The World's Most Comfortable Bedding,world comfortable bedding
2644,Techficient,Techficient develops CRM and AMS software to streamline processes for the insurance sector.,techficient develops crm am software streamline process insurance sector
2645,Tendii,A web app that supercharges remote meeting productivity,web app supercharges remote meeting productivity
2646,Terra.do,Terra.do operates as an online climate school.,terrado operates online climate school
2647,Terraseed,"Terraseed offers all-in-one multivitamin designed to resolve gaps in the vegan diet, packaged in the planet's first compostable pill bottle.",terraseed offer allinone multivitamin designed resolve gap vegan diet packaged planet first compostable pill bottle
2648,Tailopez,Tailopez provides world class customer support by delivering the most current information.,tailopez provides world class customer support delivering current information
2649,Tactyc,Tactyc is a platform that transforms spreadsheets into interactive web interfaces that enable smarter analysis and better decisions.,tactyc platform transforms spreadsheet interactive web interface enable smarter analysis better decision
2650,TactileAI,TactileAI develops an enterprise SaaS platform to provide consumer insight in the beauty care industry using the power of AI,tactileai develops enterprise saas platform provide consumer insight beauty care industry using power ai
2651,Tabella,The social network for catholic communities,social network catholic community
2652,T4L,"T4L specializes in the fields of transportation, railroad, and trucking.",t4l specializes field transportation railroad trucking
2653,Synctera,Synctera is a FinTech-as-a-Service platform that connects financial institutions with fintech companies.,synctera fintechasaservice platform connects financial institution fintech company
2654,Symbo,Sales Engagement Platform,sale engagement platform
2655,Switchbit,Switchbit offers IT infrastructure and software development services to automate compliance & secure data of an organization.,switchbit offer infrastructure software development service automate compliance  secure data organization
2656,Swing Racquet + Paddle,Swing Racquet + Paddle is an operator of a sports campus to offer both indoor and covered courts as well as fitness facilities.,swing racquet  paddle operator sport campus offer indoor covered court well fitness facility
2657,SwiftTrac,"SwiftTrac's power, speed, & flexibility make it an ideal solution for virtually any project tracking, management, and reporting application.",swifttracs power speed  flexibility make ideal solution virtually project tracking management reporting application
2658,Sweave,The World's Most Comfortable Bedding,world comfortable bedding
2659,Tiny Earth Toys,Tiny Earth Toys is an educational toy subscription company that offers age-based educational kits exchanged every four months.,tiny earth toy educational toy subscription company offer agebased educational kit exchanged every four month
2660,The Vets,The Vets is a technology platform providing Pet Owners Home Pet Care.,vet technology platform providing pet owner home pet care
2661,The Just Culture Company,The Just Culture Company deals with training and courses for workplace accountability and justice.,culture company deal training course workplace accountability justice
2662,The House of LR&C,"The House of LR&C makes good brands that embody LOVE, RESPECT & CARE.",house lrc make good brand embody love respect  care
2663,The Fascination,"The Fascination is an eCommerce firm that provides clothing, food, lifestyle, wellness, beauty products, home decor, and accessories.",fascination ecommerce firm provides clothing food lifestyle wellness beauty product home decor accessory
2664,The Dibz,The Dibz is an online portal that provides clothing and textile services.,dibz online portal provides clothing textile service
2665,Tylosoft,"TyloSoft is a startup built on decades of experience in software development, creating a new standard for customer value.",tylosoft startup built decade experience software development creating new standard customer value
2666,TVDataNow,"SaaS, Measurement Platform, CTV advertising, OTT advertising",saas measurement platform ctv advertising ott advertising
2667,Turquoise Health,Turquoise Health is a health care company that simplifies administration to reduce the expense and complexity of healthcare.,turquoise health health care company simplifies administration reduce expense complexity healthcare
2668,Tuna,Open source software that allows companies to easily integrate with many different payment providers,open source software allows company easily integrate many different payment provider
2669,Tryft,Tryft is a marketing company that finds deals and  saves money.,tryft marketing company find deal  save money
2670,TrustPlace Technologies,TrustPlace is a digital platform that supports and automates frontline operations.,trustplace digital platform support automates frontline operation
2671,TruLocal,TruLocal is an e-commerce marketplace that provides a simple and efficient way to shop locally — online.,trulocal ecommerce marketplace provides simple efficient way shop locally — online
2672,Truffl,Truffl is a travel planning app that allows users to interact and find recommendations from the people they trust.,truffl travel planning app allows user interact find recommendation people trust
2673,Truentity,We help build trust between patient and provider.,help build trust patient provider
2674,Trovelle,"Designer eyewear, iconic fashion brands, fun finds and much more.",designer eyewear iconic fashion brand fun find much
2675,Trkr,Trkr is a SaaS platform targeting the education market through both direct student sales as well as school and classroom partnerships,trkr saas platform targeting education market direct student sale well school classroom partnership
2676,Viell,Viell is an AI based digital membership club that enables its members to network effectively through audio and video.,viell ai based digital membership club enables member network effectively audio video
2677,Verne,"Verne is a cleantech startup accelerating pioneering a new high-density, low-cost, and lightweight hydrogen storage system.",verne cleantech startup accelerating pioneering new highdensity lowcost lightweight hydrogen storage system
2678,Verituity,"Verituity is a verified digital payments platform that connects banks, businesses, and payees to first-time and on-time digital payouts.",verituity verified digital payment platform connects bank business payee firsttime ontime digital payouts
2679,Venus Aerospace,Venus Aerospace is a start-up company pushing the boundaries of high speed transportation.,venus aerospace startup company pushing boundary high speed transportation
2680,Velocitee Labs,Velocitee Labs is an IoT company that focuses on strengthening the safety issues and data shortfalls in the transportation industry.,velocitee lab iot company focus strengthening safety issue data shortfall transportation industry
2681," Velloci, Inc ","Velloci is a solutions-based FinTech engine that solves complex, industry-specific financial roadblocks",velloci solutionsbased fintech engine solves complex industryspecific financial roadblock
2682,Vectice,Vectice is the cloud-based platform that powers data and AI initiative.,vectice cloudbased platform power data ai initiative
2683,VapTales,"VapTales is the platform that inspires people to make better choices based on the latest style, flavor, craze, and sensation.",vaptales platform inspires people make better choice based latest style flavor craze sensation
2684,Vangal,Vangal provides newsletters on market strategies for B2b business.,vangal provides newsletter market strategy b2b business
2685,VandCommerce LLC,E-Commerce,ecommerce
2686,Wingmen,"Wingmen offers on demand personalized driver services for corporate events, business owners, and individuals from our mobile app.",wingman offer demand personalized driver service corporate event business owner individual mobile app
2687,WillHire,"AI based Talent CRM serving enterprises to attract, curate and engage contract workforce. Reduce Spend, Save Time, Hire Top Talent.",ai based talent crm serving enterprise attract curate engage contract workforce reduce spend save time hire top talent
2688,Wildgood,Wildgood produces plant-based ice cream for the modern consumer.,wildgood produce plantbased ice cream modern consumer
2689,Whiterock AI,Real estate intelligence for 21st-century investors.,real estate intelligence 21stcentury investor
2690,Whitehorn Ltd. Co.,"Whitehorn Ltd. Co. invests in, and operates, a portfolio of brands.",whitehorn ltd co invests operates portfolio brand
2691,Wheel INVENT,An innovation platform for consumers to share ideas with businesses - a broker of ideas,innovation platform consumer share idea business  broker idea
2692,Wellocution,Wellocution is a communication coaching app that helps non-native speakers improve their communication and confidence.,wellocution communication coaching app help nonnative speaker improve communication confidence
2693,Wellnest,Wellnest is a mobile wellness tool that helps students in improving their mental health.,wellnest mobile wellness tool help student improving mental health
2694,Webspace,"Webspace is a video and music sharing and streaming platform, dedicated to making creators more accessible.",webspace video music sharing streaming platform dedicated making creator accessible
2695,Zora Labs,Zora Labs is a marketplace for non-fungible tokens.,zora lab marketplace nonfungible token
2696,ZoeZoe,Fashion e-commerce,fashion ecommerce
2697,ZealSchedule,ZealSchedule is a online Appointment Scheduling Software for Business and Professionals.,zealschedule online appointment scheduling software business professional
2698,YourDataConnect,YourDataConnect is a data monetization platform that provides data valuation & data marketplace as well as regulatory compliance solutions.,yourdataconnect data monetization platform provides data valuation  data marketplace well regulatory compliance solution
2699,Paydrop,Payment infrastructure for the gig-economy and the future of work.,payment infrastructure gigeconomy future work
2700,PayDN,"Makes accepting a P2P or bank app for purchases at the point of sale, simple, private and more secure than accepting cash or cards",make accepting p2p bank app purchase point sale simple private secure accepting cash card
2701,Paw it Forward,"Paw it Forward connects pet owners locally to sit each other's pets. Rather than paying for sitting, users pay it forward to the community.",paw forward connects pet owner locally sit others pet rather paying sitting user pay forward community
2702,PatternAI,Data Science as a Service (DSaaS),data science service dsaas
2703,Pathfix,Instant OAuth Connections To Any Platform.,instant oauth connection platform
2704,Pashi,"Pashi develops a software that makes it easy to design, monitor, and optimize production lines.",pashi develops software make easy design monitor optimize production line
2705,Paro AI,Paro AI is a voice and chatbot assistant that makes accessing enterprise systems and data easier than ever.,paro ai voice chatbot assistant make accessing enterprise system data easier ever
2706,Papercups,Papercups specializes in offering reliable and efficient software that allows companies to connect with users directly with real-time chat.,papercups specializes offering reliable efficient software allows company connect user directly realtime chat
2707,PaparazzMe,"SaaS, PaaS, Mobile App, Photography",saas paas mobile app photography
2708,Pandemic Insights,Pandemic Insights is a preventive health software company that combines data and AI insights with human behavior dynamics,pandemic insight preventive health software company combine data ai insight human behavior dynamic
2709,Pandaflow,Lowcode nocode automation and integration platform,lowcode nocode automation integration platform
2710,Pluie,Pluie is a manufacturer and provider of self-sanitizing changing tables for public restrooms.,pluie manufacturer provider selfsanitizing changing table public restroom
2711,PlayersOnly,PlayersOnly is a sports social network focused on athletes.,playersonly sport social network focused athlete
2712,PLAY OUT APPAREL,PLAY OUT APPAREL is an apparel and fashion company that specializes in design and distribution of gender-equal underwear and athleisure,play apparel apparel fashion company specializes design distribution genderequal underwear athleisure
2713,PlanMoreTrips,Travel Planning Simplified,travel planning simplified
2714,PingPong,"PingPong is a communication platform that enables remote teams to collaborate through video, voice, and screen recording sharing.",pingpong communication platform enables remote team collaborate video voice screen recording sharing
2715,Pigeon Loans,"Pigeon Loans is a peer-to-peer lending platform that facilitates loans between family, friends, and loved ones.",pigeon loan peertopeer lending platform facilitates loan family friend loved one
2716,Publicist,Publicist is an online marketplace that connects public relations and marketing talent with brands and companies.,publicist online marketplace connects public relation marketing talent brand company
2717,ProvenBase,Sourcing Technology. Built For Diversity. Technology solutions that produces unbiased talent pools,sourcing technology built diversity technology solution produce unbiased talent pool
2718,Protonn,Protonn is engaged in building business-in-a-box products for independent professionals.,protonn engaged building businessinabox product independent professional
2719,ProSe Claims,ProSe Claims offers legal solutions using a directory of virtual legal services helping consumers settle claims in less time.,prose claim offer legal solution using directory virtual legal service helping consumer settle claim le time
2720,PropHub,"Saas, PropTech",saas proptech
2721,ProjectFIT,ProjectFIT helps you bring your unique fit profile into any store you shop online,projectfit help bring unique fit profile store shop online
2722,ProFindible,The World's Largest Marketplace to find Industry expert Tax & Accounting Professionals.,world largest marketplace find industry expert tax  accounting professional
2723,Prodokit,"Prodokit provides business technology solutions and services for various industries including eCommerce, SaaS, and marketing.",prodokit provides business technology solution service various industry including ecommerce saas marketing
2724,Procoto,Self-service procurement software for small and mid-sized businesses,selfservice procurement software small midsized business
2725,Prism Analytic Technologies,"Prism is a software company operating a centralized, clinical trial meta-data platform.",prism software company operating centralized clinical trial metadata platform
2726,PrimeID,"PrimeID protects customer identities on social media, online marketplaces and communications platforms.",primeid protects customer identity social medium online marketplace communication platform
2727,Precog Data Inc.,Precog is AI for Data Engineering,precog ai data engineering
2728,PowerX,"PowerX is a technology startup that creates a line of precision sensors that gather data about a home’s electricity, gas, and water usage.",powerx technology startup creates line precision sensor gather data home’s electricity gas water usage
2729,Pottsgrove Farms,Pottsgrove Farms is a virtual Cannabis research overview of the perfected strain creations.,pottsgrove farm virtual cannabis research overview perfected strain creation
2730,Potlatch,Potlatch is a one-one personalized matching and scheduling platform for startup founders to connect people in communities.,potlatch oneone personalized matching scheduling platform startup founder connect people community
2731,PostureHealth,Empowering people to be more healthy and productive while they work through ergonomic (posture) correction software,empowering people healthy productive work ergonomic posture correction software
2732,ReferIn,Predictable Referrals. Enabling sales teams to systematically generate more pipeline by scaling referrals.,predictable referral enabling sale team systematically generate pipeline scaling referral
2733,Referenceable,All-in-one collaborative workspace for B2B Companies to sell virtually,allinone collaborative workspace b2b company sell virtually
2734,Recurate,Recurate is a full-service recommerce partner that enables a used product P2P market directly on your e-commerce store.,recurate fullservice recommerce partner enables used product p2p market directly ecommerce store
2735,Reciprocity Health,Reciprocity Health provides health programs that reduce unnecessary health care costs.,reciprocity health provides health program reduce unnecessary health care cost
2736,Ready,Ready makes software that helps local internet service providers connect more subscribers to better broadband services.,ready make software help local internet service provider connect subscriber better broadband service
2737,Reach.Live,Reach.Live is a live streaming platform that lets users host free and paid live events to connect with their communities.,reachlive live streaming platform let user host free paid live event connect community
2738,Ration,Ration provides innovative and sessionable cannabis products.,ration provides innovative sessionable cannabis product
2739,Rasgo,Rasgo gives data scientists a platform where they can accelerate the critical work of making raw data into analysis-ready data.,rasgo give data scientist platform accelerate critical work making raw data analysisready data
2740,Rangr,"Rangr is a new app that helps make the outdoors exciting, fun, and safe.",rangr new app help make outdoors exciting fun safe
2741,Rakana Technologies,Rakana Technologies is an IT firm that provides IoT design services and software solutions to several industries.,rakana technology firm provides iot design service software solution several industry
2742,Quipr,"People, Culture, Communication.",people culture communication
2743,Quin,quin’s mission is to provide a holistic financial safety net to everyone.,quin’s mission provide holistic financial safety net everyone
2744,QuikPlace,QuikPlace offers instantly promote brand or music on TikTok.,quikplace offer instantly promote brand music tiktok
2745,QS Capital Advisors,Investment Bank,investment bank
2746,Qhanu Inc.,B2B platform connecting brands with augmented reality solutions for eCommerce and social media.,b2b platform connecting brand augmented reality solution ecommerce social medium
2747,Qaleen,"Qaleen is luxury marketplace that sell fine-quality rugs to US, Pakistan and rest of the world",qaleen luxury marketplace sell finequality rug u pakistan rest world
2748,Pyroscope,Pyroscope is an open-source profiling program that can use to troubleshoot performance problems.,pyroscope opensource profiling program use troubleshoot performance problem
2749,Pwure,Tech-enabled sports nutrition,techenabled sport nutrition
2750,PWRFWD,PWRFWD is an online marketplace that drives the Athlete to Consumer industry.,pwrfwd online marketplace drive athlete consumer industry
2751,Purpose,"Purpose helps to bank responsibly, understand the impact of financial decisions, and get rewarded for supporting ethical businesses.",purpose help bank responsibly understand impact financial decision get rewarded supporting ethical business
2752,robin cafe,"casual luxury cafe serving organic juices, foods ,smoothies, juices & shakes. serving underserved minority communities",casual luxury cafe serving organic juice food smoothy juice  shake serving underserved minority community
2753,Road Shield,RoadShield is a data communication app that gives drivers the security of being able to communicate in a low-pressure situation.,roadshield data communication app give driver security able communicate lowpressure situation
2754,Riot,Riot develops of a security platform designed for fighting phishing attempts.,riot develops security platform designed fighting phishing attempt
2755,Ridepanda,Ridepanda is an online e-ride shop that offers electric vehicles with maintenance support and theft protection.,ridepanda online eride shop offer electric vehicle maintenance support theft protection
2756,Ribbon,Ribbon is a one-stop-shop online platform for live and recorded events that provides services such as Zoom integrations and email marketing.,ribbon onestopshop online platform live recorded event provides service zoom integration email marketing
2757,Rialtic,Rialtic develops an open marketplace platform that equips and enables accurate payments in healthcare.,rialtic develops open marketplace platform equips enables accurate payment healthcare
2758,ReviewNPrep,ReviewNPrep is an ed-tech company that helps its users prepare for their next certification. There are practice exams on the marketplace.,reviewnprep edtech company help user prepare next certification practice exam marketplace
2759,ReturnSafe,The first end to end platform for managing infectious disease.,first end end platform managing infectious disease
2760,ResumeZest,Resume Writing Services,resume writing service
2761,Resume Sieve,Resume Sieve is a developer of tools designed to disrupt traditional recruiting models while providing a space for recruiters.,resume sieve developer tool designed disrupt traditional recruiting model providing space recruiter
2762,Resultably,B2B SaaS analytics,b2b saas analytics
2763,Reprise,Reprise is a developer of a demo creation platform used to create and control software demos.,reprise developer demo creation platform used create control software demo
2764,Rentto - Property Management Software,Property Management solutions that grow,property management solution grow
2765,RentDrop,RentDrop makes the property rental experience extraordinary for landlords and tenants.,rentdrop make property rental experience extraordinary landlord tenant
2766,Seaplane IO,Seaplane IO is a serverless cloud for modern enterprises allowing customers to deploy their functions everywhere.,seaplane io serverless cloud modern enterprise allowing customer deploy function everywhere
2767,Sealed,"Sealed offers a perishable home delivery service, focused on meal kits and food ecommerce.",sealed offer perishable home delivery service focused meal kit food ecommerce
2768,Scribe,Scribe is a computer software portal that transforms meetings into instantly searchable and shareable video and text.,scribe computer software portal transforms meeting instantly searchable shareable video text
2769,Scientific Financial Systems,"Scientific Financial Systems, is dedicated to the development of financial quantitative analytics and management tools",scientific financial system dedicated development financial quantitative analytics management tool
2770,SchoolHouse,SchoolHouse is an EdTech startup that provides micro schooling and home education solutions.,schoolhouse edtech startup provides micro schooling home education solution
2771,Savvy,Savvy allows landlords to offer cashback on rent as well as discounts at local and internet businesses to their tenants.,savvy allows landlord offer cashback rent well discount local internet business tenant
2772,Savvi,Savvi is a developer of Artificial Intelligence-based technology used to discover and implement decisions.,savvi developer artificial intelligencebased technology used discover implement decision
2773,Sardine,Sardine provides fraud prevention as a service solution for the digital economy.,sardine provides fraud prevention service solution digital economy
2774,Sanlo,Vertically-focused platform of financial services for the gaming & app companies,verticallyfocused platform financial service gaming  app company
2775,SameTunes,"SameTunes is a technology company specializing in the online comparison, compatibility, and discovery of music.",sametunes technology company specializing online comparison compatibility discovery music
2776,Sales Community,"sales community is a portal that offers sales strategies, social networks, leadership, brand building & career advancement solutions.",sale community portal offer sale strategy social network leadership brand building  career advancement solution
2777,Sagelink,Sagelink is building a AI-powered workflow management for customer success teams.,sagelink building aipowered workflow management customer success team
2778,SafeAccess,SafeAccess provides a SaaS platform that enables enterprises to safely bring people.,safeaccess provides saas platform enables enterprise safely bring people
