description,website,crunchbase_link,name,activity_level,market,products,revenue_through,founded_by,founded,place,team_members,launch_stage,revenue_stage,amount_raised,twitter_followers,percentile,pageviews,Alexa Ranking,
'Everyday Investments Realty offers you a broad menu of comprehensive residential',https://everydayinvestments.com/?ref=startuptracker,https://startuptracker.io,'Everyday Investments',No recent company activity detected,'advertising',"'other', 'service'","'b2c', 'other'",'Applewild School',January 2 1988,Scottsdale US,1,Publicly,Pre,Self,9,9,Self,0,
'Welcome to Pediatrix! With exceptional child care since 1986.',http://pediatrixmd.com/?ref=startuptracker,https://startuptracker.io,'Pediatrix',No recent company activity detected,'advertising','service',"'b2c', 'other'",'Applewild School',January 2 1988,Phoenix US,1,Publicly,Pre,Undisclosed,9,9,Undisclosed,0,
"""Phonexa's powerful tracking solutions deliver insight on your marketing campaigns, allowing you to make smarter optimizations.""",https://phonexa.com?ref=startuptracker,https://crunchbase.com/organization/phonexa,'Phonexa',High company activity detected,"'advertising', 'finance', 'insurance', 'marketing'",'web app',"'b2b', 'commission', 'subscription'",'David Gasparyan',December 2 2016,Glendale US,51-100,Publicly,Pre,Undisclosed,328,9,~36.4k,131.1k,
'Stacy D. Johnson Family Dentist specialize in dental care for the entire family including general dentistry',https://mygreenwooddentist.com/?ref=startuptracker,https://startuptracker.io,'Stacy D. Johnson Family Dentist',No recent company activity detected,'advertising','service',"'b2c', 'other'",'Applewild School',January 2 1988,Greenwood US,1,Publicly,Pre,Undisclosed,9,9,Undisclosed,0,
'Faith Ink is a unique shopping website with a distinctive tone focusing',https://faithinkapparel.com?ref=startuptracker,https://startuptracker.io,'Faith Ink Apparel',High company activity detected,'advertising','service',"'b2b', 'other'",,January 2 1988,Huntington Beach US,1,Publicly,Pre,Undisclosed,9,9,Undisclosed,0,
"'When you hire Fischer & Van Thiel, you are hiring a team of family law attorneys'",http://www.fandvt.com/?ref=startuptracker,https://startuptracker.io,"'Fischer & Van Thiel, L.L.P.'",High company activity detected,'advertising','other',"'b2b', 'other'",,January 2 1988,Oceanside US,1,Publicly,Pre,Undisclosed,4.1m,9,~1.1k,4.1m,
"'The Cleveland Furniture Company is a family owned Furniture store located in Cleveland, OH.'",https://www.clevelandfurniturecompany.com/?ref=startuptracker,https://startuptracker.io,'The Cleveland Furniture Company',High company activity detected,'advertising','service',"'b2b', 'other'",,January 1 1988,Parma US,1,Publicly,Pre,Self,3.4m,9,~1.4k,3.4m,
'Governor’s Park Chiropractic provides you with excellent chiropractic care',https://www.governorsparkchiropractic.com?ref=startuptracker,https://startuptracker.io,"""Governor's Park Chiropractic - Denver""",High company activity detected,'advertising','other',"'b2c', 'other'",,January 2 1988,Denver US,1,Publicly,Pre,Self,9,9,Self,0,
'Helping live streaming influencers achieve more.',https://streamercloud.com?ref=startuptracker,https://startuptracker.io,'Streamer Cloud',High company activity detected,"'data', 'gaming', 'marketing', 'media'",'service',"'b2c', 'sales'","'StreamerCloud.com', 'Gamer Ninja'",March 3 2018,New York US,3,Pre,Pre,Undisclosed,6,9,6,0,
"'Tile Specialists of Madison is a small, family owned stone and tile installations services provider in Madison, WI.'",https://tilespecialistsmadison.com/?ref=startuptracker,https://startuptracker.io,"'Tile Specialists of Madison, LLC'",High company activity detected,'startups','service',"'b2b', 'other'",,January 2 1988,Windsor US,1,Publicly,Pre,Undisclosed,9,9,Undisclosed,0,
"'Heart Smart CPR teaches American Heart Association classes for BLS health care providers, basic CPR and AED'",http://www.heartsmartcpr.com/?ref=startuptracker,https://www.crunchbase.com/organization/heart-smart-cpr,'Heart Smart CPR',High company activity detected,'startups','service',"'b2b', 'other'",,January 2 1988,Leander US,1,Publicly,Pre,Undisclosed,9,9,Undisclosed,0,
"'A+ Pest and Environmental Services provides exceptional pest control and environmental services in Cape Coral, Florida.'",https://www.apluspe.com/?ref=startuptracker,https://startuptracker.io,"'A+ Pest And Environmental Services, Inc.'",High company activity detected,'startups','service',"'b2b', 'free to use'",,January 1 1990,Cape Coral US,11-50,Pre,Pre,Undisclosed,9,9,Undisclosed,0,
'Amos Family Funeral Home & Crematory provides complete funeral services and cremations for the communities of Roeland Park',https://www.amosfamily.com/?ref=startuptracker,https://startuptracker.io,'Amos Family Funeral Home & Crematory',No recent company activity detected,'startups','service',"'b2b', 'free to use'",'Parker Amos',January 1 1990,Shawnee US,11-50,Pre,Pre,Undisclosed,2.5m,9,~1.9k,2.5m,
"""Simon & Milner protects your rights if you've been arrested or convicted of a crime. From DWIs to assault charges, we defend you in court.""",https://www.simonandmilner.com/?ref=startuptracker,https://startuptracker.io,'Simon & Milner',High company activity detected,'startups','service',"'b2b', 'free to use'",,January 1 1990,Valley Stream US,11-50,Pre,Pre,Undisclosed,9,9,Undisclosed,0,
"'At Oklahoma City Locksmith, our locksmiths are committed to providing the right solution for every lock and security system issue.'",https://locksmithokc.com/?ref=startuptracker,https://startuptracker.io,'Oklahoma City Locksmith',Low company activity detected,'startups','service',"'b2b', 'free to use'",,January 1 1990,Oklahoma City US,11-50,Pre,Pre,Undisclosed,9,9,Undisclosed,0,
'LambdaTest is a cloud-based cross-browser testing platform where you can test your website and web app across 2000+ browser-OS combinations.',https://www.lambdatest.com/?ref=startuptracker,https://www.crunchbase.com/organization/lambdatest,'LambdaTest',High company activity detected,"'design', 'e commerce', 'startups', 'software dev'","'service', 'web app'","'b2b', 'freemium', 'subscription'","'Asad', 'Jay Singh'",May 3 2017,San Francisco US,11-50,Publicly,Pre,Undisclosed,1.6k,9,~595.5k,8.2k,
"'Alamo Insurance & Financial Service provides quality insurance of auto, commercial, property, health, life, contractors.'",http://alamoinsurance.us?ref=startuptracker,https://startuptracker.io,'Alamo Insurance & Financial Service',No recent company activity detected,"'advertising', 'startups'",'service',"'b2b', 'free to use'",'Alamo Insurance',January 1 1990,Round Lake Beach US,11-50,Pre,Pre,Undisclosed,9,9,Undisclosed,0,
'We are not a referral network, we are local Indianapolis-based real estate investors',https://www.simplequarters.com/?ref=startuptracker,https://startuptracker.io,'Simple Quarters - We Buy Houses Indianapolis',High company activity detected,'advertising','service',"'b2b', 'other'",,January 2 1988,Carmel US,1,Publicly,Pre,Undisclosed,9,9,Undisclosed,0
'Provides the easiest way to access on-chain data.',http://www.cmorq.com?ref=startuptracker,https://www.crunchbase.com/organization/cmorq,'cmorq',High company activity detected,"'analytics', 'blockchain', 'accounting and legal', 'big data'",'service',"'b2b', 'subscription'","'Soufian Idriss', 'Dana Panzer', 'Clarity', 'Clarity Money'",October 2 2018,New York US,5-10,Publicly,Post,Undisclosed,See,9,~3.4k,1.4m,
'Muret CPA PLLC provides superior professional services including Tax Preparation.',http://muretcpa.com/?ref=startuptracker,https://startuptracker.io,'Muret CPA PLLC',No recent company activity detected,'startups','service',"'b2b', 'free to use'",'Paul Muret',January 1 1990,Tulsa US,11-50,Pre,Pre,Undisclosed,3.5m,9,~1.3k,3.5m,
"'Scram Speed Shop is located in Mahomet, Champaign and Bloomington, IL. Scram Speed offers fabrication and welding services'",https://www.scramspeed.com/?ref=startuptracker,https://startuptracker.io,'Scram Speed',No recent company activity detected,'startups','service',"'b2b', 'free to use'",'Steve Moberley',January 1 1990,Mahomet US,11-50,Pre,Pre,Undisclosed,8.1m,9,~570,8.1m,
'A cryptocurrency predictions marketplace',https://coinediction.com/?ref=startuptracker,https://crunchbase.com/organization/coinediction,'Coinediction',No recent company activity detected,"'analytics', 'finance', 'blockchain', 'big data'",'web app',"'b2c', 'commission'",'Coinediction',April 6 2018,Miami US,5-10,Publicly,Pre,Self,249,9,~923,5m,
"'All in one software for fitness studios and gyms to manage scheduling, sales and marketing.'",https://getstudioyou.com/?ref=startuptracker,https://angel.co/company,'StudioYou',No recent company activity detected,'health',"'mobile app', 'web app'","'b2b', 'subscription'",'Vistar Singh',November 1 2018,"Mountain View, CA US",3,Publicly,Pre,Self,14,9,~824,5.6m,
'Statful is a customized monitoring platform to track any type of metric. We provide you with real-time data in a centralized point-of-view.',https://www.statful.com?ref=startuptracker,https://crunchbase.com/organization/statful,'Statful',No recent company activity detected,"'analytics', 'data', 'startups', 'big data'","'service', 'web app'","'b2c', 'b2b', 'freemium', 'sales'",'Statful',August 1 2016,San Diego US,5-10,Publicly,Pre,Undisclosed,197,9,0,0,
"'Branding Compass gives automated, expert branding advice. Discover the best words, fonts, colors & visuals for your branding and marketing.'",https://brandingcompass.com?ref=startuptracker,https://betalist.com/startups/branding-compass,'Emily Brackett',High company activity detected,"'communication', 'design', 'marketing', 'messaging'",'web app',"'b2b', 'affiliation', 'sales'","'Emily Brackett, President of Visible Logic', 'Emily Brackett'",May 15 2016,Portland US,3,Publicly,Post,Undisclosed,19,9,~5.9k,804.1k,
'Live Casino that Accept Bitcoin Deposit Search Tool',https://depositbc.com/live-casino-bitcoin/?ref=startuptracker,https://producthunt.com/posts/mobile-casino-sites-with-bitcoin-deposit,'Live Casino that Accept Bitcoin Deposit',High company activity detected,"'finance', 'startups'","'desktop app', 'hardware', 'mobile app', 'physical goods', 'service', 'web app'","'b2c', 'free to use'",'deposit Bitcoin',January 1 2019,New York US,2,Publicly,Pre,$7,2,9,2,0,
'Online Casino Sites Accepting Neteller Search Tool',https://depositnt.com/online-casino-neteller/?ref=startuptracker,https://angel.co/company,'Online Casino Accepting Neteller Search Tool',No recent company activity detected,"'entertainment', 'finance'","'desktop app', 'hardware', 'mobile app', 'physical goods', 'service', 'web app'","'b2c', 'free to use'",'Deposit PayPal',January 1 2019,New York US,2,Publicly,Pre,$100b,2,9,~805,5.7m,
"'For over 65 years, Saxton Industrial has been designing and manufacturing'",https://www.saxtonindustrial.com/?ref=startuptracker,https://startuptracker.io,"'Saxton Industrial, Inc.'",High company activity detected,'advertising','service',"'b2c', 'other'",,January 2 1988,Glendale US,1,Publicly,Pre,Self,4.1m,9,~1.1k,4.1m,
'Peer-to-peer tool rental application on iOS',https://sparetoolz.com/?ref=startuptracker,https://www.crunchbase.com/organization/sparetoolz,'Sparetoolz',High company activity detected,"'sharing economy', 'startups'",'mobile app',"'b2c', 'b2b', 'commission'","'Zlatko', 'Tako Agency'",January 1 2018,Rocklin US,5-10,Privately,Pre,Self,44,9,~3.6k,1.3m,
"'Dmarcly is a SaaS application that blocks phishing, business email compromise, ransomware, spam, and improves email deliverability.'",https://dmarcly.com?ref=startuptracker,https://www.crunchbase.com/organization/dmarcly,'DMARCLY',No recent company activity detected,'security','service',"'b2b', 'freemium'",'getdmarcly',September 30 2018,Seattle US,2,Publicly,Pre,Undisclosed,46,9,~32.7k,145.8k,
"'One Tap Search and Organize! LOGr aggregates search, simplifies project management and facilitates community sharing.'",http://LOGr-Research.com/?ref=startuptracker,https://www.crunchbase.com/organization/logr-research,'LOGr Research',High company activity detected,"'education', 'finance', 'productivity', 'startups'","'mobile app', 'web app'","'b2c', 'advertising', 'affiliation', 'freemium', 'sales', 'subscription'",'BizTT',January 1 2019,"Westport, CT US",2,Pre,Pre,Undisclosed,9,9,Undisclosed,0,
'Online estate planning',https://www.gentreo.com?ref=startuptracker,https://startuptracker.io,'Gentreo',High company activity detected,"'finance', 'accounting and legal'","'desktop app', 'web app'","'b2c', 'b2b', 'affiliation', 'subscription'",'Gentreo',July 31 2018,Boston US,5-10,Publicly,Pre,Undisclosed,85,9,~6.5k,721k,
'We are premier provider of martial arts classes in Fairfax VA',http://tkdinaction.com/?ref=startuptracker,https://startuptracker.io,'Taekwondo In Action',High company activity detected,'other','service',"'b2c', 'advertising'",,January 2 1988,Fairfax US,1,Publicly,Pre,Undisclosed,9,9,Undisclosed,0,
'ProfitGuru is the easiest way to find the most profits on Amazon.',https://www.profitguru.com/?ref=startuptracker,https://startuptracker.io,'ProfitGuru',Sourced by Startup Tracker,"'e commerce', 'startups'","'desktop app', 'service'","'b2c', 'b2b', 'freemium', 'subscription'",,March 31 2019,Midvale US,5-10,Publicly,Pre,Undisclosed,182.8k,9,~26.1k,182.8k,
"""CPR is Arizona's premier automotive motorsports shop!""",https://cordesperformanceracing.com/?ref=startuptracker,https://startuptracker.io,'Cordes Performance Racing',No recent company activity detected,'startups','service',"'b2b', 'free to use'",'Joe cordes',January 1 1990,Tempe US,11-50,Pre,Pre,Undisclosed,1,9,1,0,
"'Address: 968 Main St, Wakefield, MA, 01880, USA; Phone No :978-737-7059; Email ID: alexis@apexinvests.com'",https://www.apexinvests.com/?ref=startuptracker,https://startuptracker.io,"'Apex Investments, LLC - We Buy Houses Boston'",High company activity detected,"'other', 'advertising', 'marketing'",'service',"'b2b', 'advertising'",,January 2 1988,Wakefield US,1,Publicly,Pre,Undisclosed,9,9,Undisclosed,0,
"""Since 1976, Harper's Point Eye Associates has been treating residents in the Cincinnati region for all their eye care needs.""",https://drkirstein.com/?ref=startuptracker,https://startuptracker.io,"""Harper's Point Eye Associates""",No recent company activity detected,"'marketing', 'startups'",'service',"'b2b', 'free to use'",'Elliot Kirstein',January 1 1990,Cincinnati US,11-50,Pre,Pre,Undisclosed,9,9,Undisclosed,0,
"'Infinity is an all-in-one project management platform where you can organize anything, your way.'",https://startinfinity.com?ref=startuptracker,https://crunchbase.com/organization/infinity-3ddc,'Infinity',High company activity detected,'productivity',"'desktop app', 'web app'","'b2c', 'b2b', 'other', 'subscription'",'Infinity',November 1 2018,Delaware US,5-10,Publicly,Pre,Undisclosed,880,9,~184.1k,26.3k,
"'BTB Construction Inc has been providing professional roofing, siding and window services to residential'",https://www.btbconstructioninc.com/?ref=startuptracker,https://startuptracker.io,'BTB Construction Inc',No recent company activity detected,"'marketing', 'startups'",'service',"'b2b', 'free to use'",'BTB Construction',January 1 1990,Lynchburg US,11-50,Pre,Pre,Undisclosed,9,9,Undisclosed,0,
"'Young W. Chung, DDS offers best and high quality cosmetic and general dentistry services.'",https://www.dryoungchung.net/?ref=startuptracker,https://startuptracker.io,"'Young W. Chung, DDS'",No recent company activity detected,"'advertising', 'e commerce', 'marketing', 'startups'",'service',"'b2b', 'free to use'",'Young Chung',January 1 1990,Redlands US,11-50,Pre,Pre,Undisclosed,9,9,Undisclosed,0,
'A Creative Video Agency Focused On Helping Startups And Brands With Video Advertising',https://sandboxvideo.io?ref=startuptracker,https://crunchbase.com/organization/sandbox-video-46c4,'Sandbox Video',High company activity detected,"'advertising', 'marketing', 'media', 'startups'",'service',"'b2b', 'sales'",,April 2 2019,NY US,5-10,Privately,Post,Undisclosed,See,9,~2.2k,2.2m,
"'$5 greeting cards that can be customized for your loved ones, scheduled in advance, and digitally signed. Free shipping.'",https://palomapost.com/?ref=startuptracker,https://producthunt.com/posts/paloma-post,'Paloma Post',Low company activity detected,'retail','physical goods',"'b2c', 'sales'",,December 11 2018,"Kansas City, MO US",2,Publicly,Post,Undisclosed,See,9,0,0,
'Kounsel is a platform where clients can look for counselors (any profession) and get help at any time.',http://www.kounsel.io?ref=startuptracker,https://www.crunchbase.com/organization/kounsel,'Kounsel',High company activity detected,"'consulting', 'health', 'accounting and legal', 'medical'",'mobile app',"'b2c', 'free to use', 'commission', 'affiliation'",'Kounsel',June 15 2018,San Francisco US,11-50,Publicly,Pre,Undisclosed,1.4k,9,~1.8k,2.6m,
'We buy houses anywhere in the DFW',https://www.dewittanddewitt.com?ref=startuptracker,https://startuptracker.io,'DeWitt and DeWitt',No recent company activity detected,"'other', 'advertising'",'other','other','DeWitt and DeWitt',January 2 1988,Dallas US,1,Publicly,Pre,Self,9,9,Self,0,
"'UniPapers is a writing service that provides model papers for students to find inspiration, get a source of reference.'",https://unipapers.org/?ref=startuptracker,https://crunchbase.com/organization/unipapers,'UniPapers',High company activity detected,"'other', 'education', 'productivity'",'service',"'b2c', 'sales'",'UniPapers',January 1 2007,Glendale US,51-100,Publicly,Pre,Undisclosed,48,9,~3k,1.6m,
'Fasturtle has been consistently awarded one of Phoenix',https://www.fasturtle.com/?ref=startuptracker,https://startuptracker.io,'Fasturtle',High company activity detected,'advertising','service','other',,January 2 1988,Scottsdale US,1,Publicly,Pre,Self,982.6k,9,~4.8k,982.6k,
'Connecting Crowds Through Q&A The Right Way To Bring Everyone Closer To Their Community',https://www.CrowdQuestion.com?ref=startuptracker,https://crunchbase.com/organization/crowdquestion,'CrowdQuestion',No recent company activity detected,"'communication', 'events', 'social networks', 'content'","'mobile app', 'web app'","'b2c', 'free to use', 'subscription'",'Riley Moore',April 12 2019,Sacramento US,4,Publicly,Pre,Undisclosed,See,9,0,0,
'Real Time Phishing Intel Simplified',https://phishfeed.com?ref=startuptracker,https://crunchbase.com/organization/phishfeed,'PhishFeed',High company activity detected,"'communication', 'e commerce', 'finance', 'gaming'",'web app',"'b2b', 'subscription'",'PhishFeed',April 15 2019,"Fairfax, VA US",5-10,Publicly,Pre,Undisclosed,12,9,0,0,
"'At 1st Choice Dental, our goal is to provide our patients'",http://www.1st-choicedental.com/?ref=startuptracker,https://startuptracker.io,'1st Choice Dental',High company activity detected,'health','service','other',,January 2 1998,North Hollywood US,1,Publicly,Pre,Self,4.6m,9,~1k,4.6m,
'We are proud to serve our community in Inland Empire',https://www.zrawa.com?ref=startuptracker,https://startuptracker.io,"'Rawa Law Group, APC'",High company activity detected,"'other', 'advertising'",'service',"'b2b', 'other'",,January 2 1988,Long Beach US,1,Publicly,Pre,Self,4.8m,9,~964,4.8m,
'ChefSelect 361 is the child company of Pyramid Food Service',http://chefselect361.com?ref=startuptracker,https://startuptracker.io,'Chef Select 361 corp',High company activity detected,'advertising','service',"'b2b', 'other'",,January 2 1988,Newark US,1,Publicly,Pre,Self,9,9,Self,0,
'The team at Dimensional has a combined 190+ years of experience.',http://dimensionalsilkscreen.com/?ref=startuptracker,https://startuptracker.io,'Dimensional Silk Screen Digital Printing',High company activity detected,'advertising','other',"'b2b', 'advertising'",,January 2 1988,San Diego US,1,Privately,Pre,Self,9,9,Self,0,
"'Legal counsel serving clients in the areas of technology, innovation, competition, and creativity.'",https://LexAlchemy.com?ref=startuptracker,https://angel.co/lexalchemy,'LexAlchemy',No recent company activity detected,"'biotech', 'e commerce', 'startups', 'accounting and legal'",'service',"'b2c', 'b2b', 'other'","'Joshua A. Davis, Esq. ⚖️⚗️'",February 1 2018,Atlanta US,1,Publicly,Post,Undisclosed,79,9,0,0,
'Studio City Orthodontist',http://www.orthodontiststudiocity.com/?ref=startuptracker,https://startuptracker.io,'Studio City Orthodontist',High company activity detected,'advertising','service','other',,January 2 1988,Studio City US,1,Publicly,Pre,Self,5.5m,9,~835,5.5m,
"'Dialysis 4 Career, School of Hemodialysis is a licensed and registered'",http://www.dialysis4career.com?ref=startuptracker,https://startuptracker.io,'Dialysis 4 Career',High company activity detected,'health','service',"'b2b', 'other'",,January 2 1988,Hempstead US,1,Publicly,Pre,Self,9,9,Self,0,
'We provide the top experience in the industry when it comes to Private Deep Sea Fishing Charter',https://foxseacharters.com/?ref=startuptracker,https://startuptracker.io,'Foxsea Sport Fishing Charters',High company activity detected,'advertising','other',"'b2c', 'other'",,January 1 1988,Fort Lauderdale US,1,Publicly,Pre,Self,9,9,Self,0,
'With over 20 years of electronics repair experience',http://www.cellphonedoctormd.com/?ref=startuptracker,https://startuptracker.io,'Cell Phone Doctor',High company activity detected,'marketing','mobile app',"'b2c', 'other'",,January 2 1988,Glen Burnie US,1,Publicly,Pre,Self,9,9,Self,0,
'Keep a journal in your favorite messaging app.',https://www.journalflow.com?ref=startuptracker,https://angel.co/company,'JournalFlow',No recent company activity detected,"'health', 'productivity', 'messaging'","'service', 'web app'","'other', 'subscription'",'JournalFlow',April 24 2019,SF US,2,Publicly,Pre,Self,8,9,~696,6.6m,
"'Checkins, bookmarks and recommendations for travel destinations. Integrated with FitBit, Instagram, Facebook, and more'",http://roadgoat.com?ref=startuptracker,https://www.crunchbase.com/organization/roadgoat,'RoadGoat',High company activity detected,"'iot', 'social networks', 'travel', 'ai'",'web app',"'b2c', 'free to use'",'Kurosh Hashemi',November 23 2018,New York US,11-50,Publicly,Pre,Undisclosed,See,9,~1.6k,2.9m,
'Angel City Animal Hospital is a brand new veterinary clinic that provide affordable services in your neighborhood of Silverlake',http://angelcityvet.com/?ref=startuptracker,https://startuptracker.io,'Angel City Animal Hospital',High company activity detected,'other','service',"'b2b', 'other'",,January 2 1990,Los Angeles US,1,Publicly,Pre,Self,6.6m,9,~703,6.6m,
'The most uninhibited live streaming platform',https://jiggles.tv?ref=startuptracker,https://www.crunchbase.com/organization/jiggles-tv,'Jiggles TV',High company activity detected,"'advertising', 'entertainment', 'media', 'social networks'","'service', 'web app'","'b2c', 'b2b', 'other', 'free to use', 'commission', 'advertising', 'affiliation', 'freemium', 'sales', 'subscription'",'Jiggles TV',March 3 2018,Sacramento US,1,Pre,Pre,Undisclosed,13,9,13,0,
'DODOcase VR is a specialist in custom branded virtual and augmented reality headsets.',https://www.dodocasevr.com/?ref=startuptracker,https://www.crunchbase.com/organization/dodocase-vr,'DODOcase VR',High company activity detected,'other','mobile app',"'b2c', 'advertising'",,January 2 1988,Mill Valley US,1,Publicly,Pre,Self,4.2m,9,~1.1k,4.2m,
'Fresh Pawz revitalizes the market of dog accessories by introducing streetwear influence.',http://www.freshpawz.com?ref=startuptracker,https://www.crunchbase.com/organization/fresh-pawz,'Fresh Pawz',High company activity detected,"'e commerce', 'fashion', 'retail'",'physical goods',"'b2c', 'b2b', 'sales'",,January 5 2018,Los Angeles US,4,Publicly,Pre,Self,419k,9,~11.3k,419k,
"'Mojeezy aspires to be the #1 marketplace for anything health and wellness where people worldwide can buy, sell, and interact.'",http://www.mojeezy.com?ref=startuptracker,https://producthunt.com/posts/mojeezy,'Mojeezy',No recent company activity detected,"'food and beverages', 'e commerce', 'fashion', 'health'","'service', 'web app'","'b2c', 'commission'",,March 15 2019,Houston US,2,Pre,Pre,Undisclosed,9,9,Undisclosed,0,
'Track & Field Exchange is the premier fantasy track and field website for cash prizes.',https://www.trackandfield.exchange?ref=startuptracker,https://crunchbase.com/organization/track-field-exchange,'Track & Field Exchange',High company activity detected,"'finance', 'marketing', 'media', 'sharing economy'","'mobile app', 'service', 'web app'","'other', 'b2c', 'subscription'",,May 1 2019,"Dallas, Texas US",1,Pre,Pre,Undisclosed,See,9,0,0,
"'The Social Cafe | Social Media Marketing, Local SEO, Email Marketing, etc'",https://thesocialcafe.com?ref=startuptracker,https://crunchbase.com/organization/the-social-cafe,'The Social Cafe',No recent company activity detected,"'advertising', 'marketing', 'media', 'social networks'","'mobile app', 'service', 'web app'","'b2b', 'free to use', 'subscription'",'The Social Cafe',February 15 2018,Miami US,1,Pre,Pre,Undisclosed,1k,9,~1.1k,4.3m,
'Get answers to your questions from Silicon Valley experts',https://www.advisely.co?ref=startuptracker,https://betalist.com/startups/advisely-co,'Advisely',No recent company activity detected,'consulting','desktop app',"'b2c', 'commission'","'Chris Tung', 'Huttle'",March 19 2019,San Francisco US,1,Privately,Post,Self,7,9,~1k,4.4m,
'We help lawyers and law students improve their professional and personal lives.',http://www.jurdu.com?ref=startuptracker,https://crunchbase.com/organization/jurdu,'Jurdu',High company activity detected,"'hr and recruitment', 'accounting and legal', 'content'",'web app',"'b2c', 'free to use', 'advertising'",'Jon Strom',February 8 2019,Brooklyn US,3,Publicly,Post,Undisclosed,See,9,0,0,
'Pacific Solstice Behavioral Health is a Primary Mental Health facility that specializes in Trauma and Addiction.',https://pacificsolstice.com/?ref=startuptracker,https://startuptracker.io,'Pacific Solstice Behavioral Health',High company activity detected,'marketing','other',"'b2c', 'other'",,January 2 1988,Laguna Hills US,1,Pre,Pre,Self,See,9,~1.7k,2.7m,
"'Private, secure productivity suite'",https://graphitedocs.com?ref=startuptracker,https://www.producthunt.com/posts/graphite?utm_campaign=producthunt-api&utm_medium=api&utm_source=Application%3A+Startup+Tracker+%28ID%3A+676%29,'Graphite',No recent company activity detected,"'education', 'productivity', 'blockchain', 'content'",'web app',"'b2b', 'freemium'",'Justin Hunter',March 1 2018,Dallas US,1,Publicly,Pre,Self,1.6k,9,1.6k,0,
'Make instant music with artificial intelligence',https://boomy.com?ref=startuptracker,https://angel.co/boomy,'boomy',High company activity detected,'music',"'desktop app', 'mobile app', 'service', 'web app'","'b2c', 'free to use', 'freemium', 'subscription'",'Alex Jae Mitchell',October 25 2018,San Mateo US,5-10,Privately,Pre,Undisclosed,1.7k,9,~13.1k,361.2k,
'Air Animal Pet Movers make your upcoming move as easy as that trip to the pet play store. Air Animal are a rare find',https://www.airanimal.com/?ref=startuptracker,https://startuptracker.io,'Air Animal Pet Movers',High company activity detected,'advertising','service',"'b2c', 'advertising'",,January 2 1988,Tampa US,1,Publicly,Pre,Self,610k,9,~7.7k,610k,
"'We mint AI artwork on the blockchain, every day'",https://www.painterDAO.com?ref=startuptracker,https://startuptracker.io,'Painter DAO',No recent company activity detected,"'blockchain', 'ai'",'web app',"'other', 'free to use'",'Dennis Warfield',December 1 2018,New York US,2,Pre,Pre,Self,6,9,6,0,
'Online SVG Animation Creator - No Coding Skills Required',https://www.svgator.com?ref=startuptracker,https://producthunt.com/posts/svgator-2,'SVGator',High company activity detected,"'design', 'software dev'",'web app',"'b2c', 'subscription'",'SVGator',October 12 2017,San Francisco US,11-50,Publicly,Pre,Undisclosed,684,9,~114.6k,42k,
"'With a swift scan using their camera, your new-found friend will see your contact deets appear right into their Contacts list.'",http://www.squiqr.com?ref=startuptracker,https://angel.co/squiqr,'Squiqr - Digital Business Card',No recent company activity detected,"'marketing', 'media', 'social networks', 'content'",'mobile app',"'b2c', 'freemium'","'Tunniverse', 'Mark Suarkeo'",January 31 2019,Los Angeles US,2,Pre,Pre,Undisclosed,235,9,235,0,
"'Content Rich Platform for Jobs, Career, Skills and Interview Tips in Indian Languages.'",https://www.mintly.in?ref=startuptracker,https://angel.co/mintly,'Mintly',High company activity detected,"'education', 'hr and recruitment', 'blockchain', 'content'","'mobile app', 'web app'","'b2c', 'b2b', 'free to use', 'commission', 'freemium'",'Suddan S S',September 6 2016,Indianapolis US,11-50,Publicly,Pre,$350k,8.3k,9,~3.6k,1.3m,
'Peaches focuses on helping you achieve your perfect skin.',https://peachesskincare.com?ref=startuptracker,https://startuptracker.io,"'Peaches Skin Care - Long Beach, CA'",High company activity detected,'advertising','service',"'b2c', 'advertising'",,January 2 1988,Long Beach US,1,Publicly,Pre,Self,1.1m,9,~4.2k,1.1m,
'Epixel MLM Software - For All Multi-Level Marketing Business',https://www.epixelmlmsoftware.com/?ref=startuptracker,https://www.crunchbase.com/organization/epixel-solutions,'Epixel MLM Software',High company activity detected,"'consulting', 'e commerce', 'blockchain', 'software dev'","'desktop app', 'service', 'web app'","'other', 'b2b', 'sales'",'Epixel MLM Software',August 31 2008,San Bruno US,51-100,Publicly,Pre,Undisclosed,1.1k,9,~36.8k,129.8k,
'Deel simplifies compliance and payments for companies working with remote contractors.',https://www.letsdeel.com/?ref=startuptracker,https://www.crunchbase.com/organization/deel,'Deel',High company activity detected,"'finance', 'hr and recruitment', 'startups', 'accounting and legal'","'other', 'service'","'b2c', 'b2b', 'commission', 'subscription'","'Alex Bouaziz', 'Shuooo'",November 5 2018,San Francisco US,5-10,Publicly,Pre,Undisclosed,See,9,~256.8k,18.9k,
"'We are a full-service Accounting firm. We have successfully served and continue to serve business owners,'",http://www.kangthomascpa.com/?ref=startuptracker,https://startuptracker.io,'Kang & Thomas LLC',High company activity detected,'advertising','service',"'b2b', 'advertising'",,January 2 1988,Fairfax US,1,Publicly,Pre,Self,4.3m,9,~1.1k,4.3m,
"'Here at Vision Property Management, we pride ourselves in providing our clients full service property management, serving Oakland,'",https://vpmpropertymanagement.com/?ref=startuptracker,https://startuptracker.io,'Vision Property Management',High company activity detected,'advertising','service',"'b2c', 'other'",,January 2 1988,Oakland US,1,Publicly,Pre,Self,9,9,Self,0,
